target,Block MSA+temeplates(AFM),Block MSA+temeplates(AF3)
7SO0:A_7SO0:B,0.883,0.734
7VLI:A_7VLI:B,0.921,0.921
7ZJV:A_7ZJV:B,0.892,0.788
7ZYU:A_7ZYU:B,0.729,0.884
8U45:A_8U45:C,0.952,0.936
8CK4:A_8CK4:B,0.793,0.898
8G0I:A_8G0I:D,0.943,0.954
9F22:A_9F22:B,0.526,0.954
8G4E:A_8G4E:B,0.037,0.843
8HBW:A_8HBW:B,0.005,0.023
8OT0:A_8OT0:B,0.92,0.955
8P97:A_8P97:B,0.844,0.833
8QDI:A_8QDI:B,0.947,0.956
8SNL:A_8SNL:B,0.884,0.884
8WHK:A_8WHK:B,0.302,0.319
8ZP2:A_8ZP2:B,0.004,0.921
9BIV:A_9BIV:B,0.918,0.947
8WFR:A_8WFR:B,0.958,0.976
8WZO:A_8WZO:B,0.843,0.733
9BIU:A_9BIU:B,0.006,0.553
7SCS:A_7SCS:B,0.913,0.803
7WRS:A_7WRS:B,0.924,0.931
7ZJM:A_7ZJM:B,0.009,0.604
8ALK:A_8ALK:B,0.06,0.053
8VOF:A_8VOF:B,0.006,0.043
8E9E:A_8E9E:B,0.966,0.962
8F2P:A_8F2P:B,0.931,0.919
8GXE:A_8GXE:B,0.012,0.012
8I5V:A_8I5V:B,0.935,0.939
7SJ4:A_7SJ4:B,0.87,0.903
7G8E:A_7G8E:B,0.751,0.744
7XQV:A_7XQV:B,0.106,0.071
7U2P:A_7U2P:B,0.881,0.839
8T09:A_8T09:B,0.864,0.78
7WFC:A_7WFC:B,0.937,0.943
8RQI:A_8RQI:B,0.952,0.961
8T2D:B_8T2D:A,0.798,0.85
9FCJ:C_9FCJ:D,0.839,0.843
8EFW:B_8EFW:C,0.547,0.563
8ST8:A_8ST8:B,0.489,0.504
8EFX:A_8EFX:B,0.011,0.011
8ADB:A_8ADB:B,0.85,0.715
8HTC:A_8HTC:B,0.694,0.785
8IPJ:A_8IPJ:B,0.417,0.39
7S1P:B_7S1P:A,0.954,0.959
7SCT:A_7SCT:B,0.914,0.942
7YJC:A_7YJC:B,0.926,0.948
7Z3W:H_7Z3W:L,0.859,0.827
8T0O:L_8T0O:H,0.771,0.834
8OJT:L_8OJT:H,0.386,0.374
8AYA:A_8AYA:B,0.952,0.978
8BOS:R_8BOS:G,0.928,0.65
7PKL:H_7PKL:L,0.828,0.903
7SCV:A_7SCV:B,0.902,0.917
8POX:L_8POX:S,0.96,0.978
9FW2:A_9FW2:B,0.959,0.959
8SNN:A_8SNN:B,0.895,0.901
6ZH1:A_6ZH1:B,0.784,0.833
7F07:A_7F07:C,0.183,0.685
7QNP:AAA_7QNP:BBB,0.01,0.013
7UCC:F_7UCC:J,0.68,0.515
7V7W:A_7V7W:B,0.731,0.742
7WZ6:A_7WZ6:B,0.944,0.932
7XYQ:A_7XYQ:B,0.062,0.723
8AOM:A_8AOM:V,0.918,0.938
7ZCM:A_7ZCM:B,0.836,0.881
8APY:A_8APY:C,0.841,0.874
8EXW:A_8EXW:B,0.879,0.661
8G3K:A_8G3K:B,0.012,0.816
8H1I:A_8H1I:B,0.265,0.073
8HL7:A_8HL7:B,0.423,0.722
8IF0:X_8IF0:Y,0.851,0.857
8K0H:A_8K0H:B,0.938,0.944
8PE2:A_8PE2:B,0.923,0.917
8PU1:A_8PU1:B,0.946,0.933
8QU7:E_8QU7:A,0.852,0.916
8TYY:A_8TYY:B,0.953,0.944
9CFT:A_9CFT:B,0.213,0.884
8XLD:A_8XLD:B,0.032,0.011
9F28:A_9F28:B,0.937,0.938
8K2W:N_8K2W:R,0.028,0.873
8K3K:E_8K3K:D,0.012,0.671
8G4F:A_8G4F:B,0.1,0.068
8SOZ:C_8SOZ:A,0.906,0.846
8ZYJ:A_8ZYJ:B,0.878,0.919
7AL7:A_7AL7:B,0.943,0.944
7S5S:A_7S5S:B,0.955,0.919
7THN:B_7THN:E,0.781,0.807
7V8F:B_7V8F:A,0.719,0.651
7Y8U:E_7Y8U:F,0.828,0.909
7YTU:A_7YTU:B,0.899,0.756
7ZDF:C_7ZDF:D,0.817,0.894
8BE2:S_8BE2:N,0.119,0.88
8FCC:A_8FCC:B,0.138,0.83
8PFD:A_8PFD:B,0.922,0.951
8QUS:D_8QUS:H,0.736,0.683
8RGI:A_8RGI:B,0.851,0.875
8SSP:A_8SSP:B,0.019,0.024
7ZTL:A_7ZTL:B,0.024,0.107
8VQ3:A_8VQ3:B,0.553,0.522
7SJ3:A_7SJ3:B,0.872,0.839
8P81:A_8P81:B,0.704,0.641
9DLW:B_9DLW:A,0.007,0.008
7RYL:C_7RYL:D,0.915,0.87
7XKY:B_7XKY:A,0.933,0.946
8AK1:A_8AK1:B,0.029,0.936
8B3S:A_8B3S:Z,0.01,0.373
8C12:AAA_8C12:BBB,0.887,0.916
8G9Q:A_8G9Q:D,0.072,0.014
8GUO:A_8GUO:B,0.196,0.209
8Q5R:A_8Q5R:B,0.923,0.954
8SIU:A_8SIU:B,0.929,0.922
8W6X:L_8W6X:S,0.924,0.942
8WT0:A_8WT0:B,0.894,0.891
9ERW:E_9ERW:B,0.883,0.959
9ERT:A_9ERT:B,0.905,0.912
7FDO:A_7FDO:B,0.933,0.313
7UST:B_7UST:A,0.941,0.943
7YCJ:A_7YCJ:B,0.746,0.648
8AKO:A_8AKO:B,0.857,0.951
8B4O:B_8B4O:A,0.951,0.959
8C26:A_8C26:B,0.924,0.935
8EL7:A_8EL7:B,0.798,0.634
7TH3:A_7TH3:B,0.365,0.015
8S5Z:B_8S5Z:A,0.103,0.136
8K3A:A_8K3A:B,0.028,0.009
7UL2:R_7UL2:D,0.055,0.915
7ZMS:A_7ZMS:K,0.435,0.898
7R73:G_7R73:A,0.842,0.901
7YZ9:A_7YZ9:B,0.889,0.892
7VFA:D_7VFA:E,0.93,0.888
7F1G:A_7F1G:D,0.121,0.955
7W1S:A_7W1S:B,0.945,0.323
8QW4:A_8QW4:B,0.623,0.612
8IM0:A_8IM0:B,0.013,0.013
7OZT:AAA_7OZT:BBB,0.013,0.938
8UVY:B_8UVY:A,0.006,0.007
7VKE:A_7VKE:B,0.013,0.96
9FZD:A_9FZD:B,0.899,0.939
8H3X:C_8H3X:A,0.883,0.917
7WKI:A_7WKI:B,0.868,0.907
8H63:A_8H63:B,0.894,0.97
8YVJ:A_8YVJ:B,0.042,0.96
7UPM:A_7UPM:B,0.01,0.059
8AOK:A_8AOK:B,0.668,0.682
7S7R:A_7S7R:B,0.006,0.939
8E0E:A_8E0E:B,0.692,0.709
8E0G:A_8E0G:B,0.083,0.086
8GBQ:A_8GBQ:B,0.851,0.792
8GP6:B_8GP6:A,0.913,0.857
8J09:A_8J09:B,0.785,0.803
8JI0:B_8JI0:A,0.889,0.91
8P7L:H_8P7L:J,0.931,0.911
8Q66:A_8Q66:B,0.969,0.971
8RD3:A_8RD3:B,0.817,0.779
8WT4:A_8WT4:B,0.948,0.936
7XLI:A_7XLI:B,0.856,0.904
8WFH:A_8WFH:E,0.039,0.019
8EZM:A_8EZM:H,0.015,0.015
7XQK:A_7XQK:B,0.936,0.94
7XQW:A_7XQW:B,0.782,0.802
8YM7:A_8YM7:B,0.874,0.864
7ENH:A_7ENH:B,0.015,0.924
7FIW:A_7FIW:B,0.903,0.95
7QBO:A_7QBO:P,0.9,0.917
7PK4:B_7PK4:A,0.826,0.699
7TGF:B_7TGF:A,0.896,0.882
7V4Y:B_7V4Y:A,0.893,0.885
7XVK:A_7XVK:B,0.462,0.769
7YLS:A_7YLS:B,0.959,0.902
7SJQ:A_7SJQ:D,0.938,0.955
8C5H:N_8C5H:S,0.015,0.932
8CM0:BBB_8CM0:AAA,0.928,0.845
8FN8:A_8FN8:B,0.944,0.958
8GZX:A_8GZX:B,0.558,0.843
7MSR:A_7MSR:B,0.789,0.925
8S2M:A_8S2M:B,0.951,0.971
8ZQ3:A_8ZQ3:B,0.719,0.719
9BK6:A_9BK6:B,0.875,0.881
7VUO:A_7VUO:C,0.884,0.896
7SPP:A_7SPP:C,0.901,0.915
7VV8:A_7VV8:C,0.783,0.326
8T74:A_8T74:B,0.926,0.9
7T08:A_7T08:B,0.928,0.95
7YUI:A_7YUI:B,0.575,0.576
8A82:A_8A82:B,0.968,0.976
8BS3:A_8BS3:B,0.899,0.946
8CQZ:A_8CQZ:B,0.861,0.913
8EY4:I_8EY4:A,0.924,0.892
8RO6:A_8RO6:B,0.848,0.837
9DP6:B_9DP6:A,0.628,0.638
9GIB:A_9GIB:B,0.874,0.927
8HLM:A_8HLM:B,0.014,0.013
7MWR:A_7MWR:B,0.731,0.796
7VVB:B_7VVB:A,0.873,0.744
7WSF:A_7WSF:B,0.916,0.876
8J5J:A_8J5J:E,0.009,0.878
8A8F:A_8A8F:B,0.674,0.713
8DC0:A_8DC0:B,0.912,0.905
8IJ5:B_8IJ5:E,0.906,0.865
8OWS:A_8OWS:C,0.915,0.904
8PIJ:A_8PIJ:B,0.113,0.065
8PW8:A_8PW8:B,0.903,0.935
9AY7:A_9AY7:B,0.918,0.911
7S7M:A_7S7M:B,0.883,0.854
9FW3:A_9FW3:B,0.628,0.686
7WIV:A_7WIV:B,0.707,0.774
9IZN:B_9IZN:A,0.853,0.604
7B55:B_7B55:A,0.87,0.892
7F4P:B_7F4P:A,0.888,0.861
7PP2:A_7PP2:B,0.064,0.929
7S7Q:A_7S7Q:B,0.811,0.773
7SH4:A_7SH4:B,0.594,0.631
7UL4:A_7UL4:D,0.035,0.935
8EHE:A_8EHE:B,0.924,0.951
8G4K:A_8G4K:B,0.922,0.899
8ODR:A_8ODR:B,0.008,0.076
8QVX:A_8QVX:B,0.735,0.745
9CQI:A_9CQI:B,0.901,0.946
9K3E:B_9K3E:C,0.962,0.955
8EZG:A_8EZG:B,0.011,0.023
7F61:A_7F61:B,0.004,0.004
7OV9:A_7OV9:C,0.727,0.754
7ULA:B_7ULA:A,0.886,0.895
7WJQ:A_7WJQ:B,0.023,0.034
7XDD:A_7XDD:B,0.906,0.95
8B14:A_8B14:B,0.948,0.933
8BZR:A_8BZR:B,0.01,0.013
8GTG:A_8GTG:B,0.065,0.005
8HSB:A_8HSB:B,0.753,0.703
9CU8:A_9CU8:B,0.892,0.829
9GNB:A_9GNB:B,0.097,0.869
7XJP:A_7XJP:B,0.787,0.809
7UM4:A_7UM4:B,0.082,0.109
8AIN:A_8AIN:B,0.902,0.915
8B2Q:A_8B2Q:I,0.903,0.828
8BJ8:A_8BJ8:B,0.952,0.965
8CD0:A_8CD0:C,0.018,0.016
8CUV:A_8CUV:B,0.908,0.917
8EJM:A_8EJM:B,0.882,0.744
8FHK:D_8FHK:C,0.405,0.54
8PK5:A_8PK5:B,0.769,0.757
8R7A:A_8R7A:B,0.637,0.451
9CYS:I_9CYS:A,0.787,0.963
8S0L:A_8S0L:B,0.939,0.944
8Z8V:A_8Z8V:B,0.029,0.027
8H62:A_8H62:B,0.913,0.923
7LA5:A_7LA5:B,0.953,0.901
7N0E:B_7N0E:A,0.596,0.638
7PQ0:A_7PQ0:B,0.129,0.876
7VG7:A_7VG7:B,0.007,0.463
8B2R:A_8B2R:B,0.057,0.789
8DYE:A_8DYE:B,0.938,0.094
8TK9:A_8TK9:B,0.672,0.759
8U7B:B_8U7B:C,0.907,0.924
9ERV:A_9ERV:B,0.884,0.018
8RCI:A_8RCI:E,0.009,0.959
7Q1U:A_7Q1U:B,0.929,0.923
9E9G:A_9E9G:B,0.887,0.889
