target,Original(Templates),Interface(Templates),Non-Interface(Templates),Original(MSA),Interface(MSA),Non-Interface(MSA)
7ZJV:A_7ZJV:B,0.898,0.138,0.797,0.862,0.496,0.829
7ZYU:A_7ZYU:B,0.926,0.42,0.916,0.739,0.065,0.061
8U45:A_8U45:C,0.948,0.921,0.941,0.939,0.188,0.923
8CK4:A_8CK4:B,0.901,0.655,0.921,0.716,0.057,0.739
8G0I:A_8G0I:D,0.009,0.01,0.01,0.014,0.092,0.014
9F22:A_9F22:B,0.912,0.509,0.942,0.012,0.249,0.012
8G4E:A_8G4E:B,0.042,0.008,0.032,0.037,0.052,0.045
8HBW:A_8HBW:B,0.013,0.011,0.004,0.006,0.006,0.005
8OT0:A_8OT0:B,0.948,0.176,0.929,0.835,0.012,0.774
8P97:A_8P97:B,0.709,0.057,0.702,0.727,0.108,0.716
8QDI:A_8QDI:B,0.953,0.039,0.937,0.922,0.713,0.908
8SNL:A_8SNL:B,0.005,0.005,0.005,0.703,0.066,0.683
8WHK:A_8WHK:B,0.323,0.01,0.018,0.297,0.005,0.3
8ZP2:A_8ZP2:B,0.943,0.005,0.004,0.004,0.089,0.004
9BIV:A_9BIV:B,0.921,0.01,0.923,0.899,0.059,0.895
8WFR:A_8WFR:B,0.951,0.877,0.912,0.951,0.891,0.922
8WZO:A_8WZO:B,0.84,0.017,0.831,0.858,0.008,0.667
9BIU:A_9BIU:B,0.005,0.005,0.005,0.006,0.104,0.028
7SCS:A_7SCS:B,0.944,0.839,0.938,0.753,0.701,0.738
7WRS:A_7WRS:B,0.921,0.005,0.92,0.667,0.006,0.671
7ZJM:A_7ZJM:B,0.01,0.019,0.009,0.015,0.02,0.012
8ALK:A_8ALK:B,0.892,0.009,0.89,0.055,0.035,0.208
8VOF:A_8VOF:B,0.034,0.008,0.006,0.006,0.006,0.006
8E9E:A_8E9E:B,0.955,0.813,0.943,0.9,0.772,0.884
8F2P:A_8F2P:B,0.013,0.018,0.949,0.42,0.069,0.355
8GXE:A_8GXE:B,0.004,0.004,0.006,0.005,0.005,0.019
8I5V:A_8I5V:B,0.958,0.858,0.949,0.852,0.271,0.834
7SJ4:A_7SJ4:B,0.895,0.006,0.823,0.825,0.028,0.832
7G8E:A_7G8E:B,0.959,0.052,0.905,0.71,0.12,0.698
7XQV:A_7XQV:B,0.932,0.026,0.928,0.136,0.106,0.065
7U2P:A_7U2P:B,0.838,0.039,0.844,0.813,0.617,0.789
8T09:A_8T09:B,0.907,0.008,0.885,0.857,0.006,0.76
7WFC:A_7WFC:B,0.959,0.012,0.935,0.875,0.087,0.804
8RQI:A_8RQI:B,0.948,0.05,0.934,0.912,0.078,0.563
8T2D:B_8T2D:A,0.94,0.861,0.896,0.641,0.541,0.598
9FCJ:C_9FCJ:D,0.038,0.088,0.085,0.821,0.74,0.803
8EFW:B_8EFW:C,0.755,0.371,0.894,0.542,0.388,0.52
8ST8:A_8ST8:B,0.454,0.075,0.525,0.478,0.227,0.34
8EFX:A_8EFX:B,0.011,0.011,0.012,0.011,0.064,0.031
8ADB:A_8ADB:B,0.075,0.11,0.933,0.01,0.136,0.011
8HTC:A_8HTC:B,0.875,0.01,0.838,0.051,0.023,0.055
8IPJ:A_8IPJ:B,0.846,0.013,0.071,0.332,0.072,0.371
7S1P:B_7S1P:A,0.96,0.768,0.959,0.836,0.666,0.824
7SCT:A_7SCT:B,0.924,0.849,0.917,0.829,0.723,0.847
7YJC:A_7YJC:B,0.931,0.888,0.901,0.897,0.836,0.883
7Z3W:H_7Z3W:L,0.945,0.801,0.899,0.816,0.721,0.788
8T0O:L_8T0O:H,0.837,0.796,0.895,0.72,0.65,0.691
8OJT:L_8OJT:H,0.952,0.872,0.935,0.38,0.317,0.6
8AYA:A_8AYA:B,0.967,0.007,0.937,0.926,0.461,0.848
8BOS:R_8BOS:G,0.914,0.518,0.912,0.869,0.059,0.796
7PKL:H_7PKL:L,0.849,0.754,0.832,0.335,0.491,0.377
7SCV:A_7SCV:B,0.921,0.86,0.024,0.88,0.526,0.854
8POX:L_8POX:S,0.962,0.877,0.945,0.933,0.844,0.922
9FW2:A_9FW2:B,0.955,0.886,0.944,0.883,0.815,0.854
8SNN:A_8SNN:B,0.009,0.004,0.002,0.772,0.06,0.694
6ZH1:A_6ZH1:B,0.885,0.019,0.886,0.769,0.029,0.679
7F07:A_7F07:C,0.874,0.856,0.287,0.21,0.009,0.085
7QNP:AAA_7QNP:BBB,0.011,0.012,0.011,0.01,0.011,0.012
7UCC:F_7UCC:J,0.605,0.46,0.489,0.676,0.431,0.433
7V7W:A_7V7W:B,0.822,0.435,0.808,0.684,0.633,0.643
7WZ6:A_7WZ6:B,0.957,0.063,0.914,0.941,0.698,0.904
7XYQ:A_7XYQ:B,0.806,0.081,0.814,0.435,0.09,0.434
8AOM:A_8AOM:V,0.916,0.161,0.912,0.743,0.269,0.63
7ZCM:A_7ZCM:B,0.025,0.022,0.057,0.715,0.03,0.726
8APY:A_8APY:C,0.923,0.15,0.9,0.424,0.364,0.455
8EXW:A_8EXW:B,0.564,0.004,0.554,0.475,0.009,0.444
8G3K:A_8G3K:B,0.01,0.008,0.009,0.011,0.012,0.012
8H1I:A_8H1I:B,0.924,0.088,0.899,0.015,0.051,0.103
8HL7:A_8HL7:B,0.059,0.068,0.921,0.014,0.009,0.012
8IF0:X_8IF0:Y,0.035,0.031,0.038,0.81,0.583,0.685
8K0H:A_8K0H:B,0.938,0.733,0.877,0.04,0.072,0.029
8PE2:A_8PE2:B,0.928,0.056,0.928,0.746,0.104,0.713
8PU1:A_8PU1:B,0.954,0.92,0.926,0.906,0.737,0.826
8QU7:E_8QU7:A,0.029,0.011,0.03,0.041,0.106,0.014
8TYY:A_8TYY:B,0.963,0.945,0.928,0.931,0.808,0.904
9CFT:A_9CFT:B,0.032,0.075,0.085,0.156,0.421,0.268
8XLD:A_8XLD:B,0.009,0.011,0.009,0.023,0.049,0.007
9F28:A_9F28:B,0.935,0.01,0.912,0.857,0.006,0.836
8K2W:N_8K2W:R,0.849,0.005,0.901,0.027,0.024,0.036
8K3K:E_8K3K:D,0.929,0.019,0.891,0.008,0.146,0.008
8G4F:A_8G4F:B,0.943,0.019,0.859,0.152,0.011,0.027
8SOZ:C_8SOZ:A,0.924,0.008,0.902,0.918,0.055,0.835
8ZYJ:A_8ZYJ:B,0.731,0.004,0.685,0.627,0.443,0.673
7AL7:A_7AL7:B,0.936,0.034,0.063,0.927,0.083,0.842
7S5S:A_7S5S:B,0.015,0.016,0.923,0.028,0.023,0.025
7THN:B_7THN:E,0.873,0.007,0.864,0.732,0.036,0.665
7V8F:B_7V8F:A,0.861,0.024,0.796,0.647,0.022,0.543
7Y8U:E_7Y8U:F,0.895,0.273,0.911,0.543,0.131,0.111
7YTU:A_7YTU:B,0.934,0.857,0.916,0.761,0.624,0.765
7ZDF:C_7ZDF:D,0.884,0.764,0.683,0.573,0.603,0.545
8BE2:S_8BE2:N,0.904,0.136,0.862,0.11,0.313,0.066
8FCC:A_8FCC:B,0.01,0.029,0.069,0.142,0.142,0.137
8PFD:A_8PFD:B,0.017,0.01,0.017,0.008,0.008,0.012
8QUS:D_8QUS:H,0.089,0.012,0.055,0.104,0.243,0.039
8RGI:A_8RGI:B,0.952,0.917,0.939,0.686,0.681,0.768
8SSP:A_8SSP:B,0.037,0.02,0.018,0.017,0.029,0.018
7ZTL:A_7ZTL:B,0.019,0.013,0.768,0.034,0.016,0.103
8VQ3:A_8VQ3:B,0.863,0.021,0.866,0.519,0.395,0.528
7SJ3:A_7SJ3:B,0.841,0.728,0.825,0.851,0.615,0.824
8P81:A_8P81:B,0.927,0.007,0.881,0.691,0.307,0.68
9DLW:B_9DLW:A,0.027,0.057,0.024,0.007,0.006,0.007
7RYL:C_7RYL:D,0.964,0.919,0.945,0.823,0.765,0.723
7XKY:B_7XKY:A,0.948,0.815,0.931,0.813,0.592,0.661
8AK1:A_8AK1:B,0.951,0.03,0.949,0.021,0.015,0.018
8B3S:A_8B3S:Z,0.011,0.01,0.01,0.011,0.011,0.012
8C12:AAA_8C12:BBB,0.951,0.106,0.943,0.873,0.015,0.363
8G9Q:A_8G9Q:D,0.439,0.351,0.714,0.093,0.098,0.034
8GUO:A_8GUO:B,0.495,0.017,0.246,0.185,0.173,0.18
8Q5R:A_8Q5R:B,0.959,0.913,0.938,0.548,0.446,0.042
8SIU:A_8SIU:B,0.934,0.05,0.963,0.917,0.215,0.905
8W6X:L_8W6X:S,0.918,0.876,0.902,0.859,0.74,0.836
8WT0:A_8WT0:B,0.896,0.024,0.865,0.885,0.663,0.852
9ERW:E_9ERW:B,0.013,0.011,0.013,0.012,0.014,0.011
9ERT:A_9ERT:B,0.934,0.258,0.916,0.013,0.1,0.015
7FDO:A_7FDO:B,0.958,0.012,0.926,0.916,0.101,0.899
7UST:B_7UST:A,0.943,0.011,0.937,0.206,0.233,0.259
7YCJ:A_7YCJ:B,0.141,0.008,0.033,0.32,0.02,0.495
8AKO:A_8AKO:B,0.009,0.009,0.036,0.791,0.022,0.764
8B4O:B_8B4O:A,0.943,0.019,0.938,0.732,0.453,0.643
8C26:A_8C26:B,0.93,0.85,0.913,0.222,0.844,0.899
8EL7:A_8EL7:B,0.347,0.017,0.033,0.064,0.225,0.77
7TH3:A_7TH3:B,0.941,0.351,0.032,0.01,0.247,0.01
8S5Z:B_8S5Z:A,0.004,0.005,0.004,0.092,0.006,0.036
8K3A:A_8K3A:B,0.011,0.141,0.012,0.095,0.1,0.015
7UL2:R_7UL2:D,0.787,0.005,0.776,0.005,0.006,0.006
7ZMS:A_7ZMS:K,0.007,0.008,0.008,0.011,0.055,0.011
7R73:G_7R73:A,0.91,0.448,0.886,0.355,0.123,0.078
7YZ9:A_7YZ9:B,0.026,0.024,0.932,0.035,0.167,0.047
7VFA:D_7VFA:E,0.96,0.139,0.925,0.62,0.012,0.586
7F1G:A_7F1G:D,0.008,0.008,0.008,0.069,0.052,0.071
7W1S:A_7W1S:B,0.009,0.009,0.036,0.157,0.289,0.087
8QW4:A_8QW4:B,0.788,0.42,0.773,0.61,0.285,0.559
8IM0:A_8IM0:B,0.013,0.856,0.05,0.015,0.015,0.013
7OZT:AAA_7OZT:BBB,0.014,0.016,0.014,0.014,0.015,0.014
8UVY:B_8UVY:A,0.008,0.008,0.008,0.007,0.008,0.008
7VKE:A_7VKE:B,0.013,0.156,0.011,0.009,0.134,0.009
9FZD:A_9FZD:B,0.933,0.082,0.926,0.219,0.004,0.004
8H3X:C_8H3X:A,0.909,0.008,0.881,0.613,0.015,0.633
7WKI:A_7WKI:B,0.931,0.022,0.968,0.139,0.052,0.025
8H63:A_8H63:B,0.968,0.073,0.035,0.755,0.12,0.535
8YVJ:A_8YVJ:B,0.023,0.043,0.014,0.022,0.037,0.018
7UPM:A_7UPM:B,0.85,0.015,0.868,0.015,0.01,0.009
8AOK:A_8AOK:B,0.952,0.469,0.94,0.064,0.078,0.061
7S7R:A_7S7R:B,0.951,0.053,0.946,0.012,0.006,0.006
8E0E:A_8E0E:B,0.016,0.015,0.008,0.022,0.275,0.561
8E0G:A_8E0G:B,0.933,0.135,0.914,0.048,0.047,0.06
8GBQ:A_8GBQ:B,0.889,0.018,0.874,0.882,0.016,0.824
8GP6:B_8GP6:A,0.909,0.006,0.883,0.676,0.599,0.636
8J09:A_8J09:B,0.827,0.005,0.633,0.455,0.276,0.443
8JI0:B_8JI0:A,0.022,0.011,0.011,0.215,0.005,0.008
8P7L:H_8P7L:J,0.013,0.008,0.019,0.9,0.489,0.887
8Q66:A_8Q66:B,0.965,0.836,0.935,0.706,0.27,0.721
8RD3:A_8RD3:B,0.688,0.006,0.668,0.791,0.014,0.785
8WT4:A_8WT4:B,0.954,0.687,0.929,0.893,0.551,0.894
7XLI:A_7XLI:B,0.057,0.05,0.816,0.636,0.456,0.351
8WFH:A_8WFH:E,0.057,0.03,0.722,0.038,0.082,0.041
8EZM:A_8EZM:H,0.888,0.018,0.847,0.016,0.051,0.053
7XQK:A_7XQK:B,0.94,0.005,0.936,0.864,0.01,0.845
7XQW:A_7XQW:B,0.839,0.006,0.839,0.788,0.574,0.765
8YM7:A_8YM7:B,0.842,0.008,0.845,0.845,0.005,0.762
7ENH:A_7ENH:B,0.016,0.848,0.016,0.768,0.015,0.047
7FIW:A_7FIW:B,0.919,0.133,0.906,0.693,0.117,0.693
7QBO:A_7QBO:P,0.926,0.042,0.902,0.893,0.132,0.858
7PK4:B_7PK4:A,0.912,0.015,0.888,0.765,0.045,0.796
7TGF:B_7TGF:A,0.952,0.608,0.928,0.817,0.511,0.791
7V4Y:B_7V4Y:A,0.931,0.014,0.922,0.847,0.768,0.818
7XVK:A_7XVK:B,0.006,0.005,0.008,0.355,0.007,0.261
7YLS:A_7YLS:B,0.967,0.928,0.943,0.869,0.841,0.857
7SJQ:A_7SJQ:D,0.967,0.375,0.965,0.922,0.601,0.139
8C5H:N_8C5H:S,0.073,0.118,0.094,0.014,0.016,0.151
8CM0:BBB_8CM0:AAA,0.873,0.157,0.009,0.784,0.022,0.062
8FN8:A_8FN8:B,0.085,0.006,0.079,0.787,0.045,0.803
8GZX:A_8GZX:B,0.945,0.29,0.928,0.391,0.08,0.323
7MSR:A_7MSR:B,0.946,0.043,0.915,0.761,0.655,0.731
8S2M:A_8S2M:B,0.954,0.927,0.949,0.931,0.825,0.91
8ZQ3:A_8ZQ3:B,0.891,0.014,0.737,0.683,0.017,0.658
9BK6:A_9BK6:B,0.903,0.684,0.853,0.652,0.103,0.679
7VUO:A_7VUO:C,0.916,0.875,0.917,0.693,0.8,0.845
7SPP:A_7SPP:C,0.95,0.365,0.923,0.593,0.321,0.73
7VV8:A_7VV8:C,0.841,0.091,0.815,0.791,0.018,0.756
8T74:A_8T74:B,0.935,0.194,0.895,0.896,0.016,0.834
7T08:A_7T08:B,0.958,0.829,0.929,0.9,0.843,0.838
7YUI:A_7YUI:B,0.62,0.288,0.621,0.573,0.007,0.58
8A82:A_8A82:B,0.965,0.011,0.953,0.86,0.019,0.891
8BS3:A_8BS3:B,0.016,0.012,0.016,0.859,0.52,0.842
8CQZ:A_8CQZ:B,0.954,0.009,0.898,0.775,0.012,0.8
8EY4:I_8EY4:A,0.95,0.847,0.958,0.789,0.654,0.858
8RO6:A_8RO6:B,0.945,0.002,0.929,0.804,0.035,0.809
9DP6:B_9DP6:A,0.072,0.078,0.069,0.852,0.38,0.775
9GIB:A_9GIB:B,0.884,0.109,0.861,0.848,0.484,0.817
8HLM:A_8HLM:B,0.949,0.008,0.939,0.014,0.014,0.012
7MWR:A_7MWR:B,0.732,0.17,0.81,0.753,0.223,0.776
7VVB:B_7VVB:A,0.088,0.029,0.865,0.833,0.041,0.791
7WSF:A_7WSF:B,0.003,0.003,0.003,0.007,0.004,0.007
8J5J:A_8J5J:E,0.046,0.084,0.938,0.011,0.408,0.013
8A8F:A_8A8F:B,0.559,0.266,0.545,0.632,0.236,0.631
8DC0:A_8DC0:B,0.009,0.009,0.009,0.834,0.017,0.848
8IJ5:B_8IJ5:E,0.889,0.703,0.855,0.828,0.671,0.846
8OWS:A_8OWS:C,0.967,0.916,0.954,0.833,0.667,0.755
8PIJ:A_8PIJ:B,0.012,0.013,0.015,0.017,0.098,0.122
8PW8:A_8PW8:B,0.917,0.56,0.93,0.858,0.769,0.853
9AY7:A_9AY7:B,0.951,0.035,0.913,0.803,0.023,0.674
7S7M:A_7S7M:B,0.036,0.085,0.014,0.827,0.621,0.81
9FW3:A_9FW3:B,0.806,0.741,0.795,0.449,0.372,0.539
7WIV:A_7WIV:B,0.811,0.553,0.787,0.609,0.516,0.519
9IZN:B_9IZN:A,0.93,0.026,0.858,0.661,0.033,0.636
7B55:B_7B55:A,0.934,0.034,0.881,0.82,0.024,0.411
7F4P:B_7F4P:A,0.642,0.026,0.645,0.829,0.688,0.779
7PP2:A_7PP2:B,0.011,0.011,0.007,0.075,0.055,0.059
7S7Q:A_7S7Q:B,0.809,0.006,0.848,0.736,0.024,0.716
7SH4:A_7SH4:B,0.838,0.668,0.818,0.595,0.361,0.504
7UL4:A_7UL4:D,0.058,0.026,0.019,0.027,0.028,0.031
8EHE:A_8EHE:B,0.946,0.672,0.918,0.7,0.6,0.635
8G4K:A_8G4K:B,0.911,0.751,0.896,0.82,0.687,0.565
8ODR:A_8ODR:B,0.008,0.008,0.008,0.008,0.008,0.008
8QVX:A_8QVX:B,0.769,0.004,0.725,0.741,0.015,0.73
9CQI:A_9CQI:B,0.942,0.098,0.925,0.837,0.258,0.62
9K3E:B_9K3E:C,0.985,0.813,0.966,0.91,0.426,0.752
8EZG:A_8EZG:B,0.92,0.023,0.88,0.042,0.041,0.023
7F61:A_7F61:B,0.004,0.004,0.004,0.004,0.004,0.004
7OV9:A_7OV9:C,0.949,0.01,0.937,0.71,0.544,0.721
7ULA:B_7ULA:A,0.016,0.015,0.018,0.778,0.019,0.712
7WJQ:A_7WJQ:B,0.007,0.027,0.013,0.045,0.008,0.025
7XDD:A_7XDD:B,0.912,0.002,0.893,0.661,0.362,0.777
8B14:A_8B14:B,0.945,0.002,0.914,0.042,0.044,0.036
8BZR:A_8BZR:B,0.01,0.032,0.02,0.059,0.07,0.011
8GTG:A_8GTG:B,0.005,0.005,0.005,0.041,0.005,0.017
8HSB:A_8HSB:B,0.792,0.008,0.769,0.697,0.005,0.598
9CU8:A_9CU8:B,0.96,0.372,0.917,0.812,0.057,0.398
9GNB:A_9GNB:B,0.965,0.083,0.927,0.856,0.095,0.097
7XJP:A_7XJP:B,0.878,0.004,0.877,0.631,0.394,0.597
7UM4:A_7UM4:B,0.086,0.122,0.129,0.076,0.079,0.099
8AIN:A_8AIN:B,0.911,0.571,0.89,0.084,0.01,0.086
8B2Q:A_8B2Q:I,0.905,0.052,0.909,0.837,0.644,0.824
8BJ8:A_8BJ8:B,0.946,0.613,0.925,0.929,0.694,0.914
8CD0:A_8CD0:C,0.809,0.124,0.007,0.017,0.017,0.017
8CUV:A_8CUV:B,0.795,0.015,0.785,0.86,0.091,0.667
8EJM:A_8EJM:B,0.397,0.008,0.384,0.837,0.385,0.797
8FHK:D_8FHK:C,0.871,0.758,0.846,0.373,0.36,0.39
8PK5:A_8PK5:B,0.791,0.616,0.766,0.696,0.367,0.682
8R7A:A_8R7A:B,0.892,0.053,0.61,0.351,0.297,0.299
9CYS:I_9CYS:A,0.96,0.87,0.942,0.656,0.163,0.347
8S0L:A_8S0L:B,0.015,0.053,0.015,0.852,0.309,0.893
8Z8V:A_8Z8V:B,0.005,0.034,0.012,0.027,0.044,0.017
8H62:A_8H62:B,0.016,0.016,0.24,0.778,0.01,0.769
7LA5:A_7LA5:B,0.969,0.94,0.954,0.84,0.833,0.875
7N0E:B_7N0E:A,0.89,0.048,0.873,0.615,0.395,0.669
7PQ0:A_7PQ0:B,0.902,0.843,0.884,0.172,0.135,0.028
7VG7:A_7VG7:B,0.02,0.012,0.008,0.012,0.111,0.009
8B2R:A_8B2R:B,0.041,0.07,0.048,0.058,0.059,0.016
8DYE:A_8DYE:B,0.962,0.029,0.954,0.025,0.116,0.029
8TK9:A_8TK9:B,0.708,0.161,0.709,0.077,0.168,0.075
8U7B:B_8U7B:C,0.92,0.03,0.88,0.832,0.611,0.695
9ERV:A_9ERV:B,0.925,0.408,0.877,0.011,0.015,0.01
8RCI:A_8RCI:E,0.01,0.011,0.011,0.01,0.009,0.01
7Q1U:A_7Q1U:B,0.024,0.023,0.906,0.144,0.051,0.061
9E9G:A_9E9G:B,0.88,0.027,0.866,0.828,0.159,0.831
Mean,0.6233,0.227,0.6093,0.5148,0.2404,0.4747
