target,Original(Templates),Interface(Templates),Non-Interface(Templates),Original(MSA),Interface(MSA),Non-Interface(MSA)
8R2X:A_8R2X:B,0.968,0.473,0.934,0.68,0.021,0.869
7WGU:A_7WGU:B,0.017,,0.789,0.011,,0.006
7XYV:A_7XYV:B,0.802,0.341,0.791,0.139,0.165,0.479
8BEX:A_8BEX:B,0.047,0.646,0.046,0.008,0.007,0.005
8ANT:A_8ANT:B,0.882,0.729,0.817,0.425,0.089,0.413
8P7I:A_8P7I:B,0.955,0.46,0.935,0.807,0.27,0.806
7F4C:A_7F4C:B,0.949,0.068,0.93,0.821,0.211,0.819
8ILJ:A_8ILJ:B,0.964,0.06,0.924,0.861,0.212,0.866
8HN0:A_8HN0:B,0.013,0.03,0.015,0.83,0.026,0.703
7FCT:A_7FCT:B,0.963,0.259,0.947,0.916,0.297,0.782
8R2T:A_8R2T:B,0.011,0.008,0.012,0.004,0.007,0.013
8BGW:A_8BGW:B,0.909,0.56,0.011,0.805,0.692,0.803
7E3S:A_7E3S:B,0.905,0.424,0.879,0.836,0.362,0.761
7FCZ:A_7FCZ:B,0.006,0.007,0.015,0.569,0.007,0.016
7TL5:A_7TL5:B,0.917,0.031,0.888,0.733,0.628,0.711
7PND:A_7PND:B,0.013,0.595,0.034,0.009,0.05,0.013
7QUG:A_7QUG:B,0.917,0.425,0.912,0.789,0.468,0.75
8ZLH:A_8ZLH:B,0.012,0.191,0.013,0.012,0.053,0.023
9BR6:A_9BR6:B,0.951,0.808,0.931,0.838,0.791,0.804
8HT4:A_8HT4:B,0.97,0.803,0.956,0.938,0.597,0.914
8VRU:A_8VRU:B,0.925,0.311,0.901,0.836,0.667,0.821
7F91:A_7F91:B,0.913,0.421,0.889,0.852,0.542,0.819
8X71:A_8X71:B,0.757,0.243,0.865,0.736,0.01,0.728
7AAN:A_7AAN:B,0.727,0.459,0.678,0.868,0.653,0.833
8YE5:A_8YE5:B,0.783,0.2,0.718,0.038,0.034,0.026
7YQO:A_7YQO:B,0.934,0.786,0.912,0.864,0.726,0.834
9AXG:A_9AXG:B,0.034,0.304,0.035,0.836,0.592,0.795
9J4X:A_9J4X:B,0.006,0.251,0.009,0.745,0.684,0.801
7EG5:A_7EG5:B,0.936,0.078,0.919,0.931,0.742,0.889
8X2O:A_8X2O:B,0.929,0.661,0.908,0.864,0.004,0.749
7QEO:A_7QEO:B,0.033,,0.032,0.622,,0.077
7VQK:A_7VQK:B,0.973,0.892,0.95,0.961,0.835,0.922
7TDQ:A_7TDQ:B,0.707,0.005,0.704,0.503,0.347,0.358
7EIW:A_7EIW:B,0.953,0.859,0.931,0.867,0.739,0.9
7ER8:A_7ER8:B,0.01,0.01,0.01,0.012,0.043,0.01
8AHF:A_8AHF:B,0.922,0.905,0.897,0.853,0.864,0.71
7UXS:A_7UXS:B,0.95,0.398,0.132,0.835,0.147,0.053
8B1N:A_8B1N:B,0.43,0.009,0.248,0.4,0.361,0.402
8CIW:A_8CIW:B,0.975,0.087,0.945,0.948,0.545,0.929
8A2N:A_8A2N:B,0.893,0.169,0.89,0.514,0.069,0.766
8R07:A_8R07:B,0.032,0.068,0.015,0.019,0.073,0.156
7VUA:A_7VUA:B,0.938,0.004,0.941,0.852,0.005,0.841
8R36:A_8R36:B,0.754,0.683,0.704,0.942,0.437,0.914
8DOQ:A_8DOQ:B,0.903,0.036,0.861,0.886,0.78,0.833
7T9G:Y_7T9G:A,0.957,0.725,0.015,0.934,0.527,0.899
8EPZ:A_8EPZ:B,0.935,0.804,0.918,0.887,0.653,0.883
8R29:A_8R29:B,0.867,0.746,0.78,0.031,0.686,0.455
7SEL:A_7SEL:B,0.541,0.348,0.43,0.445,0.391,0.426
7VID:A_7VID:B,0.908,0.566,0.883,0.868,0.055,0.728
8RFK:A_8RFK:B,0.943,0.573,0.913,0.877,0.054,0.86
8YBF:A_8YBF:B,0.006,0.051,0.721,0.6,0.273,0.554
9GIE:A_9GIE:B,0.021,0.227,0.021,0.689,0.014,0.597
8WD6:A_8WD6:B,0.003,0.507,0.005,0.702,0.301,0.722
8DHK:A_8DHK:B,0.005,0.005,0.004,0.004,0.005,0.005
8QPL:A_8QPL:B,0.039,0.015,0.023,0.039,0.023,0.04
7V3D:A_7V3D:B,0.956,0.696,0.943,0.916,0.652,0.875
7XGT:A_7XGT:B,0.896,0.039,0.788,0.858,0.034,0.845
8XIY:A_8XIY:B,0.979,0.383,0.948,0.951,0.3,0.91
8F8F:A_8F8F:B,0.933,0.026,0.914,0.881,0.496,0.861
8QM3:A_8QM3:B,0.884,0.479,0.875,0.006,0.312,0.007
7Y1H:A_7Y1H:B,0.935,0.438,0.892,0.868,0.53,0.81
7ZS8:A_7ZS8:B,0.873,0.238,0.84,0.767,0.015,0.793
7YEO:A_7YEO:B,0.009,0.009,0.009,0.009,0.009,0.009
8WOU:A_8WOU:B,0.931,0.831,0.922,0.913,0.69,0.921
8AI8:A_8AI8:B,0.947,0.593,0.924,0.839,0.667,0.786
8RKR:A_8RKR:B,0.95,0.464,0.936,0.925,0.597,0.911
8GJX:A_8GJX:B,0.954,0.138,0.9,0.825,0.032,0.851
8Z1R:A_8Z1R:B,0.942,0.018,0.91,0.006,0.006,0.006
8S9W:A_8S9W:B,0.924,0.701,0.946,0.939,0.418,0.893
8A90:A_8A90:B,0.959,0.369,0.954,0.926,0.429,0.93
8GYZ:A_8GYZ:B,0.877,0.046,0.821,0.613,0.007,0.581
7XZP:A_7XZP:B,0.975,0.189,0.947,0.894,0.414,0.866
7WRM:A_7WRM:B,0.935,0.032,0.912,0.909,0.053,0.832
7T91:A_7T91:B,0.944,0.478,0.945,0.033,0.354,0.465
5S9S:A_5S9S:B,0.955,0.751,0.938,0.893,0.512,0.861
7REG:A_7REG:B,0.935,0.134,0.952,0.935,0.133,0.923
8DL5:A_8DL5:B,0.928,0.798,0.906,0.914,0.617,0.828
8BK6:A_8BK6:B,0.011,0.045,0.012,0.032,0.019,0.011
8J9T:A_8J9T:B,0.928,0.008,0.922,0.792,0.004,0.738
8AU8:A_8AU8:B,0.942,0.511,0.919,0.846,0.011,0.878
8EVX:A_8EVX:B,0.898,0.438,0.906,0.799,0.352,0.774
7TOC:A_7TOC:B,0.947,0.802,0.921,0.489,0.375,0.51
9FYB:A_9FYB:B,0.007,0.007,0.008,0.007,0.007,0.007
8AUZ:A_8AUZ:B,0.932,0.786,0.876,0.029,0.025,0.012
8JQQ:A_8JQQ:B,0.958,0.025,0.909,0.844,0.018,0.881
8DQ5:A_8DQ5:B,0.944,0.7,0.946,0.793,0.573,0.829
8GWR:A_8GWR:B,0.237,0.029,0.239,0.306,0.002,0.221
7WH0:A_7WH0:B,0.926,,0.913,0.061,,0.054
7QCP:A_7QCP:B,0.807,0.386,0.776,0.653,0.069,0.65
8R2E:A_8R2E:B,0.93,0.117,0.924,0.847,0.424,0.871
7N7V:A_7N7V:B,0.033,0.284,0.903,0.923,0.008,0.894
7MBH:A_7MBH:B,0.961,0.106,0.922,0.837,0.674,0.913
7UQL:A_7UQL:B,0.839,0.01,0.808,0.744,0.203,0.738
8IYI:A_8IYI:B,0.946,0.793,0.904,0.921,0.618,0.884
7F13:A_7F13:B,0.633,0.434,0.592,0.615,0.007,0.567
8P8F:A_8P8F:B,0.917,0.18,0.906,0.793,0.006,0.806
7W81:A_7W81:B,0.021,0.021,0.022,0.012,0.032,0.011
7Z2V:A_7Z2V:B,0.96,0.253,0.17,0.921,0.017,0.894
7XXO:A_7XXO:B,0.846,0.042,0.832,0.66,0.485,0.696
7YOP:A_7YOP:B,0.644,0.172,0.552,0.012,0.026,0.016
7AN9:A_7AN9:B,0.868,0.032,0.849,0.932,0.014,0.817
8I4Q:A_8I4Q:B,0.953,0.703,0.931,0.834,0.667,0.819
7LV1:A_7LV1:C,0.59,0.605,0.602,0.352,0.118,0.587
7R7M:A_7R7M:B,0.981,0.184,0.942,0.718,0.024,0.783
8HF4:A_8HF4:B,0.825,0.718,0.782,0.746,0.631,0.603
7ZM6:A_7ZM6:B,0.907,0.668,0.89,0.708,0.01,0.335
8IYF:A_8IYF:B,0.963,0.338,0.955,0.843,0.184,0.804
8HYN:A_8HYN:B,0.867,0.169,0.796,0.036,0.048,0.039
7TVM:A_7TVM:B,0.158,0.417,0.169,0.96,0.313,0.887
8GPW:A_8GPW:B,0.207,0.356,0.9,0.018,0.034,0.022
8DQ8:A_8DQ8:B,0.983,0.09,0.956,0.904,0.014,0.858
8WQP:A_8WQP:B,0.006,0.022,0.017,0.014,0.005,0.009
7YKV:A_7YKV:B,0.875,0.102,0.065,0.739,0.121,0.748
8VLL:A_8VLL:B,0.898,0.075,0.869,0.885,0.231,0.864
7UBK:A_7UBK:B,0.674,0.052,0.864,0.035,0.115,0.07
8GYD:A_8GYD:B,0.951,0.031,0.922,0.872,0.544,0.828
8IS2:A_8IS2:B,0.766,0.053,0.842,0.7,0.686,0.683
7O4D:A_7O4D:B,0.972,0.613,0.939,0.934,0.743,0.932
8AHR:A_8AHR:B,0.891,0.055,0.877,0.817,0.037,0.798
8Q68:A_8Q68:B,0.028,0.316,0.024,0.018,0.019,0.023
8OVP:A_8OVP:B,0.028,0.046,0.007,0.055,0.005,0.013
8I80:A_8I80:B,0.009,0.535,0.007,0.015,0.055,0.009
8P0L:A_8P0L:B,0.012,0.034,0.045,0.143,0.012,0.077
7ZC3:A_7ZC3:B,0.098,0.036,0.025,0.95,0.026,0.939
7VUB:A_7VUB:B,0.946,0.063,0.946,0.928,0.364,0.86
8OTV:A_8OTV:B,0.906,0.846,0.886,0.855,0.68,0.811
9CGO:A_9CGO:B,0.816,0.085,0.783,0.593,0.022,0.601
7X7W:A_7X7W:B,0.959,0.927,0.82,0.939,0.899,0.797
8SKY:A_8SKY:B,0.916,0.704,0.922,0.917,0.033,0.877
Mean,0.6762,0.3317,0.6362,0.6186,0.2801,0.5803
