target,Original(Templates),Interface(Templates),Non-Interface(Templates),Original(MSA),Interface(MSA),Non-Interface(MSA)
8GUM:A_8GUM:B,0.015,0.033,0.011,0.468,0.033,0.53
7EJ3:A_7EJ3:B,0.973,0.922,0.955,0.949,0.727,0.904
8TXL:A_8TXL:B,0.66,0.017,0.581,0.435,0.014,0.371
8AM3:AAA_8AM3:BBB,0.936,0.009,0.927,0.895,0.004,0.88
8H7C:A_8H7C:B,0.848,0.112,0.827,0.028,0.012,0.073
7MX6:AAA_7MX6:BBB,0.967,0.03,0.944,0.98,0.019,0.792
8J2L:A_8J2L:B,0.032,0.034,0.565,0.862,0.049,0.589
7FDD:A_7FDD:B,0.874,0.007,0.838,0.6,0.015,0.416
8B5E:A_8B5E:B,0.008,0.284,0.01,0.008,0.09,0.01
8HZ5:A_8HZ5:B,0.042,0.037,0.039,0.914,0.146,0.81
7Y62:A_7Y62:B,0.752,0.364,0.704,0.641,0.451,0.689
7PR2:A_7PR2:B,0.012,0.263,0.013,0.093,0.108,0.083
7RBP:A_7RBP:B,0.948,0.941,0.913,0.866,0.839,0.873
8BRY:A_8BRY:B,0.848,0.102,0.798,0.899,0.17,0.858
8UZD:A_8UZD:B,0.881,0.874,0.721,0.789,0.749,0.667
8Z5C:A_8Z5C:B,0.925,0.129,0.905,0.917,0.174,0.885
7WGR:A_7WGR:B,0.886,0.616,0.869,0.69,0.451,0.679
7EYU:A_7EYU:B,0.582,0.011,0.414,0.758,0.016,0.641
8IMU:A_8IMU:B,0.974,0.463,0.938,0.861,0.01,0.788
8WMY:A_8WMY:B,0.964,,0.962,0.934,,0.867
8JML:A_8JML:B,0.038,0.027,0.024,0.024,0.022,0.02
7Y3W:A_7Y3W:B,0.852,0.192,0.887,0.122,0.011,0.011
8KE7:A_8KE7:B,0.933,0.129,0.866,0.783,0.004,0.773
8IOI:A_8IOI:B,0.824,0.076,0.865,0.793,0.087,0.189
7W0W:A_7W0W:B,0.011,0.382,0.011,0.006,0.005,0.586
7ZM5:A_7ZM5:B,0.951,0.168,0.903,0.87,0.059,0.201
8VCK:A_8VCK:B,0.932,0.027,0.829,0.934,0.21,0.938
8J2W:A_8J2W:B,0.904,0.041,0.874,0.759,0.179,0.602
7UX6:A_7UX6:B,0.947,0.775,0.916,0.63,0.019,0.71
7WAA:A_7WAA:B,0.007,,0.008,0.007,,0.007
8ES5:A_8ES5:B,0.782,0.234,0.894,0.79,0.246,0.744
8GAD:A_8GAD:B,0.431,0.196,0.086,0.421,0.026,0.153
7UXR:A_7UXR:B,0.132,0.17,0.092,0.876,0.012,0.016
7XRH:A_7XRH:B,0.965,0.042,0.954,0.98,0.464,0.945
7TA9:A_7TA9:B,0.955,0.596,0.92,0.845,0.04,0.748
8E7C:A_8E7C:B,0.693,0.694,0.698,0.713,0.63,0.555
8A6X:A_8A6X:B,0.548,0.011,0.615,0.181,0.016,0.195
8K7P:A_8K7P:B,0.051,0.026,0.052,0.024,0.023,0.006
7ZPN:A_7ZPN:B,0.843,0.072,0.909,0.117,0.022,0.141
8D3E:A_8D3E:B,0.94,0.004,0.014,0.898,0.027,0.866
8OO2:A_8OO2:B,0.58,0.088,0.702,0.52,0.043,0.491
7XWG:A_7XWG:B,0.714,0.071,0.646,0.367,0.015,0.397
8GY8:A_8GY8:B,0.884,0.013,0.603,0.471,0.012,0.015
7ZRN:A_7ZRN:B,0.953,0.008,0.889,0.932,0.031,0.918
8BIC:A_8BIC:B,0.831,0.458,0.827,0.75,0.01,0.555
8R2H:A_8R2H:B,0.92,0.517,0.884,0.164,0.396,0.163
8R2X:A_8R2X:B,0.946,0.634,0.93,0.785,0.008,0.879
7WGU:A_7WGU:B,0.591,,0.642,0.007,,0.007
7XYV:A_7XYV:B,0.898,0.018,0.854,0.624,0.027,0.475
8BEX:A_8BEX:B,0.04,0.074,0.01,0.009,0.005,0.353
8ANT:A_8ANT:B,0.75,0.05,0.816,0.421,0.083,0.323
8P7I:A_8P7I:B,0.974,0.253,0.947,0.954,0.025,0.923
7F4C:A_7F4C:B,0.939,0.018,0.933,0.83,0.119,0.832
8ILJ:A_8ILJ:B,0.067,0.226,0.017,0.949,0.219,0.883
8HN0:A_8HN0:B,0.883,0.019,0.426,0.76,0.014,0.33
7FCT:A_7FCT:B,0.971,0.052,0.955,0.792,0.01,0.821
8R2T:A_8R2T:B,0.016,0.008,0.005,0.006,0.006,0.006
8BGW:A_8BGW:B,0.903,0.379,0.867,0.852,0.476,0.821
7E3S:A_7E3S:B,0.889,0.387,0.877,0.836,0.078,0.751
7FCZ:A_7FCZ:B,0.006,0.006,0.007,0.166,0.007,0.013
7TL5:A_7TL5:B,0.941,0.779,0.916,0.745,0.027,0.714
7PND:A_7PND:B,0.045,0.104,0.008,0.04,0.008,0.051
7QUG:A_7QUG:B,0.94,0.658,0.915,0.825,0.01,0.744
8ZLH:A_8ZLH:B,0.01,0.076,0.02,0.021,0.046,0.022
9BR6:A_9BR6:B,0.946,0.835,0.903,0.932,0.016,0.738
8HT4:A_8HT4:B,0.966,0.807,0.944,0.939,0.009,0.836
8VRU:A_8VRU:B,0.961,0.108,0.942,0.863,0.414,0.862
7F91:A_7F91:B,0.892,0.284,0.835,0.853,0.322,0.826
8X71:A_8X71:B,0.954,0.062,0.949,0.721,0.01,0.715
7AAN:A_7AAN:B,0.905,0.007,0.877,0.81,0.284,0.747
8YE5:A_8YE5:B,0.374,0.036,0.02,0.026,0.042,0.014
7YQO:A_7YQO:B,0.877,0.737,0.838,0.86,0.221,0.846
9AXG:A_9AXG:B,0.852,0.027,0.137,0.776,0.064,0.477
9J4X:A_9J4X:B,0.867,0.581,0.874,0.809,0.59,0.796
7EG5:A_7EG5:B,0.953,0.067,0.914,0.947,0.076,0.701
8X2O:A_8X2O:B,0.937,0.005,0.924,0.94,0.005,0.919
7QEO:A_7QEO:B,0.014,,0.043,0.697,,0.727
7VQK:A_7VQK:B,0.958,0.617,0.82,0.958,0.37,0.862
7TDQ:A_7TDQ:B,0.396,0.015,0.475,0.761,0.009,0.372
7EIW:A_7EIW:B,0.873,0.722,0.945,0.865,0.064,0.827
7ER8:A_7ER8:B,0.006,0.006,0.008,0.007,0.006,0.008
8AHF:A_8AHF:B,0.903,0.898,0.882,0.87,0.851,0.805
7UXS:A_7UXS:B,0.835,0.052,0.049,0.061,0.026,0.168
8B1N:A_8B1N:B,0.42,0.244,0.402,0.407,0.009,0.286
8CIW:A_8CIW:B,0.969,0.08,0.947,0.949,0.527,0.904
8A2N:A_8A2N:B,0.935,0.086,0.939,0.674,0.027,0.592
8R07:A_8R07:B,0.016,0.018,0.014,0.014,0.015,0.015
7VUA:A_7VUA:B,0.956,0.004,0.934,0.887,0.004,0.884
8R36:A_8R36:B,0.458,0.056,0.868,0.595,0.083,0.569
8DOQ:A_8DOQ:B,0.895,0.696,0.871,0.875,0.014,0.836
7T9G:Y_7T9G:A,0.946,0.006,0.936,0.944,0.01,0.884
8EPZ:A_8EPZ:B,0.955,0.843,0.944,0.788,0.015,0.898
8R29:A_8R29:B,0.776,0.632,0.691,0.634,0.413,0.57
7SEL:A_7SEL:B,0.554,0.432,0.485,0.48,0.095,0.389
7VID:A_7VID:B,0.923,0.079,0.903,0.901,0.043,0.871
8RFK:A_8RFK:B,0.972,0.34,0.961,0.883,0.01,0.864
8YBF:A_8YBF:B,0.826,0.117,0.741,0.53,0.004,0.463
9GIE:A_9GIE:B,0.758,0.025,0.052,0.655,0.017,0.549
8WD6:A_8WD6:B,0.853,0.349,0.403,0.798,0.406,0.685
8DHK:A_8DHK:B,0.004,0.004,0.004,0.004,0.004,0.008
8QPL:A_8QPL:B,0.024,0.015,0.04,0.04,0.023,0.04
7V3D:A_7V3D:B,0.958,0.689,0.898,0.924,0.149,0.907
7XGT:A_7XGT:B,0.8,0.066,0.883,0.883,0.026,0.582
8XIY:A_8XIY:B,0.974,0.039,0.939,0.919,0.015,0.889
8F8F:A_8F8F:B,0.94,0.032,0.919,0.846,0.046,0.88
8QM3:A_8QM3:B,0.916,0.466,0.902,0.69,0.007,0.186
7Y1H:A_7Y1H:B,0.918,0.014,0.916,0.905,0.012,0.803
7ZS8:A_7ZS8:B,0.875,0.005,0.868,0.761,0.005,0.752
7YEO:A_7YEO:B,0.009,0.009,0.931,0.953,0.009,0.905
8WOU:A_8WOU:B,0.931,0.575,0.932,0.924,0.065,0.877
8AI8:A_8AI8:B,0.853,0.044,0.774,0.829,0.223,0.765
8RKR:A_8RKR:B,0.965,0.591,0.928,0.947,0.117,0.917
8GJX:A_8GJX:B,0.973,0.304,0.893,0.908,0.217,0.839
8Z1R:A_8Z1R:B,0.936,0.012,0.765,0.773,0.006,0.735
8S9W:A_8S9W:B,0.911,0.077,0.602,0.564,0.062,0.646
8A90:A_8A90:B,0.962,0.007,0.946,0.937,0.029,0.933
8GYZ:A_8GYZ:B,0.717,0.006,0.616,0.522,0.007,0.576
7XZP:A_7XZP:B,0.968,0.025,0.949,0.947,0.014,0.779
7WRM:A_7WRM:B,0.963,0.302,0.642,0.66,0.081,0.615
7T91:A_7T91:B,0.945,0.126,0.832,0.421,0.096,0.411
5S9S:A_5S9S:B,0.963,0.695,0.939,0.933,0.017,0.78
7REG:A_7REG:B,0.984,0.105,0.945,0.972,0.034,0.911
8DL5:A_8DL5:B,0.943,0.799,0.925,0.92,0.014,0.876
8BK6:A_8BK6:B,0.011,0.011,0.011,0.032,0.034,0.011
8J9T:A_8J9T:B,0.941,0.007,0.922,0.791,0.007,0.776
8AU8:A_8AU8:B,0.956,0.04,0.926,0.953,0.027,0.707
8EVX:A_8EVX:B,0.951,0.55,0.917,0.85,0.454,0.826
7TOC:A_7TOC:B,0.816,0.801,0.863,0.5,0.065,0.624
9FYB:A_9FYB:B,0.007,0.007,0.01,0.007,0.007,0.013
8AUZ:A_8AUZ:B,0.642,0.029,0.024,0.032,0.023,0.005
8JQQ:A_8JQQ:B,0.96,0.036,0.931,0.945,0.034,0.885
8DQ5:A_8DQ5:B,0.95,0.581,0.897,0.801,0.048,0.595
8GWR:A_8GWR:B,0.203,0.003,0.167,0.664,0.006,0.222
7WH0:A_7WH0:B,0.923,,0.899,0.024,,0.008
7QCP:A_7QCP:B,0.635,0.042,0.636,0.713,0.036,0.592
8R2E:A_8R2E:B,0.941,0.107,0.724,0.847,0.272,0.809
7N7V:A_7N7V:B,0.013,0.005,0.912,0.843,0.012,0.839
7MBH:A_7MBH:B,0.971,0.622,0.944,0.949,0.025,0.731
7UQL:A_7UQL:B,0.824,0.01,0.814,0.759,0.184,0.706
8IYI:A_8IYI:B,0.949,0.128,0.903,0.892,0.023,0.864
7F13:A_7F13:B,0.579,0.5,0.593,0.612,0.009,0.608
8P8F:A_8P8F:B,0.947,0.283,0.917,0.809,0.133,0.817
7W81:A_7W81:B,0.319,0.029,0.027,0.339,0.221,0.012
7Z2V:A_7Z2V:B,0.974,0.158,0.945,0.947,0.144,0.893
7XXO:A_7XXO:B,0.894,0.024,0.863,0.725,0.037,0.679
7YOP:A_7YOP:B,0.467,0.012,0.439,0.007,0.01,0.01
7AN9:A_7AN9:B,0.923,0.011,0.837,0.931,0.012,0.818
8I4Q:A_8I4Q:B,0.946,0.693,0.865,0.879,0.035,0.65
7LV1:A_7LV1:C,0.06,0.088,0.566,0.501,0.099,0.455
7R7M:A_7R7M:B,0.976,0.053,0.963,0.642,0.016,0.719
8HF4:A_8HF4:B,0.749,0.591,0.75,0.634,0.589,0.693
7ZM6:A_7ZM6:B,0.774,0.107,0.748,0.334,0.004,0.101
8IYF:A_8IYF:B,0.975,0.202,0.962,0.902,0.196,0.848
8HYN:A_8HYN:B,0.868,0.237,0.826,0.038,0.016,0.045
7TVM:A_7TVM:B,0.083,0.076,0.119,0.805,0.018,0.88
8GPW:A_8GPW:B,0.013,0.149,0.016,0.003,0.003,0.724
8DQ8:A_8DQ8:B,0.978,0.092,0.975,0.89,0.007,0.762
8WQP:A_8WQP:B,0.011,0.021,0.005,0.008,0.017,0.015
7YKV:A_7YKV:B,0.942,0.071,0.878,0.754,0.005,0.701
8VLL:A_8VLL:B,0.85,0.068,0.829,0.891,0.031,0.865
7UBK:A_7UBK:B,0.007,0.058,0.046,0.028,0.06,0.059
8GYD:A_8GYD:B,0.955,0.024,0.924,0.904,0.022,0.649
8IS2:A_8IS2:B,0.756,0.749,0.686,0.701,0.636,0.73
7O4D:A_7O4D:B,0.983,0.635,0.951,0.975,0.3,0.943
8AHR:A_8AHR:B,0.855,0.13,0.818,0.819,0.029,0.739
8Q68:A_8Q68:B,0.619,0.005,0.584,0.005,0.005,0.005
8OVP:A_8OVP:B,0.02,0.031,0.012,0.035,0.015,0.012
8I80:A_8I80:B,0.007,0.042,0.008,0.031,0.016,0.009
8P0L:A_8P0L:B,0.015,0.004,0.004,0.574,0.007,0.529
7ZC3:A_7ZC3:B,0.948,0.048,0.025,0.953,0.055,0.904
7VUB:A_7VUB:B,0.958,0.037,0.934,0.938,0.036,0.92
8OTV:A_8OTV:B,0.868,0.866,0.816,0.819,0.138,0.666
9CGO:A_9CGO:B,0.657,0.029,0.652,0.624,0.014,0.645
7X7W:A_7X7W:B,0.96,0.928,0.73,0.933,0.921,0.759
8SKY:A_8SKY:B,0.934,0.005,0.855,0.934,0.017,0.811
Mean,0.703,0.2208,0.6538,0.6456,0.1099,0.5769
