target,Full-Chain(unbound),Interface(unbound),Non-interface(unbound),Full-Chain(bound),Interface(bound),Non-interface(bound)
7E50:A_7E50:B,"[0.8526, 0.9877]","[0.5799, 0.9339]","[0.8305, 0.9889]","[0.8991, 0.9866]","[0.6677, 0.9421]","[0.8662, 0.9888]"
7WR6:A_7WR6:B,"[0.9311, 0.9915]","[0.3863, 0.75]","[0.957, 0.989]","[0.9507, 0.9934]","[0.4116, 0.7368]","[0.9663, 0.9919]"
7YCO:A_7YCO:B,"[0.9786, 0.9679]","[0.9675, 0.3996]","[0.9635, 0.9686]","[0.9862, 0.9731]","[0.9785, 0.4022]","[0.9735, 0.9768]"
7ZHR:A_7ZHR:B,"[0.7856, 0.941]","[0.8933, 0.7482]","[0.7269, 0.9339]","[0.7401, 0.9335]","[0.8856, 0.7659]","[0.6751, 0.9518]"
8EZS:A_8EZS:B,"[0.9698, 0.9551]","[0.895, 0.8343]","[0.9314, 0.9569]","[0.9721, 0.9575]","[0.9211, 0.8357]","[0.9337, 0.959]"
5ST0:A_5ST0:B,"[0.9756, 0.9904]","[0.8583, 0.7007]","[0.969, 0.9896]","[0.9891, 0.9931]","[0.9437, 0.92]","[0.9859, 0.9924]"
7PJH:A_7PJH:B,"[0.9521, 0.9698]","[0.4232, 0.9621]","[0.9693, 0.9552]","[0.9738, 0.9741]","[0.8097, 0.9777]","[0.9755, 0.9612]"
7EGS:A_7EGS:B,"[0.9912, 0.937]","[0.9131, 0.5674]","[0.989, 0.8513]","[0.9891, 0.9634]","[0.8534, 0.658]","[0.9869, 0.8438]"
7FGM:A_7FGM:B,"[0.9795, 0.8698]","[0.8356, 0.5813]","[0.9797, 0.9377]","[0.9579, 0.8688]","[0.9032, 0.5626]","[0.94, 0.9225]"
7QAA:A_7QAA:B,"[0.9624, 0.9557]","[0.5058, 0.9729]","[0.9261, 0.9327]","[0.9499, 0.9582]","[0.5185, 0.9866]","[0.9053, 0.9355]"
7SO0:A_7SO0:B,"[0.869, 0.8649]","[0.6642, 0.796]","[0.7815, 0.6001]","[0.9303, 0.9033]","[0.7684, 0.801]","[0.7554, 0.76]"
7VLI:A_7VLI:B,"[0.3579, 0.9718]","[0.3285, 0.9721]",[0.8165],"[0.9093, 0.9829]","[0.8986, 0.9848]",[0.7862]
7ZJV:A_7ZJV:B,"[0.9852, 0.9414]","[0.9472, 0.6989]","[0.9812, 0.9306]","[0.9858, 0.9558]","[0.9613, 0.6734]","[0.9819, 0.9057]"
7ZYU:A_7ZYU:B,"[0.9646, 0.986]","[0.9079, 0.9795]","[0.9664, 0.972]","[0.9673, 0.991]","[0.9097, 0.9879]","[0.9706, 0.9822]"
8U45:A_8U45:C,"[0.9465, 0.9944]","[0.9247, 0.9724]","[0.8955, 0.9918]","[0.9584, 0.9962]","[0.9772, 0.9878]","[0.9089, 0.9939]"
8CK4:A_8CK4:B,"[0.9288, 0.9522]","[0.9338, 0.8609]","[0.8926, 0.9649]","[0.9427, 0.9507]","[0.9536, 0.869]","[0.8937, 0.955]"
8G0I:A_8G0I:D,"[0.9965, 0.9627]","[0.9525, 0.7664]","[0.9955, 0.9625]","[0.9962, 0.9703]","[0.9523, 0.7949]","[0.9953, 0.9693]"
9F22:A_9F22:B,"[0.9828, 0.9865]","[0.8506, 0.6552]","[0.9787, 0.9761]","[0.9849, 0.988]","[0.8799, 0.9426]","[0.9804, 0.9784]"
8G4E:A_8G4E:B,"[0.9831, 0.9868]","[0.6448, 0.9543]","[0.9755, 0.9808]","[0.9819, 0.9862]","[0.6399, 0.9518]","[0.9688, 0.9798]"
8HBW:A_8HBW:B,"[0.8738, 0.9396]","[0.6711, 0.2967]","[0.8604, 0.9672]","[0.8471, 0.9303]","[0.7017, 0.388]","[0.8508, 0.9602]"
8OT0:A_8OT0:B,"[0.9502, 0.956]","[0.9354, 0.9463]","[0.9316, 0.9078]","[0.9382, 0.9624]","[0.9793, 0.9727]","[0.9177, 0.9206]"
8P97:A_8P97:B,"[0.9714, 0.974]","[0.5415, 0.8934]","[0.9893, 0.9807]","[0.9864, 0.9824]","[0.8951, 0.9285]","[0.99, 0.9784]"
8QDI:A_8QDI:B,"[0.9894, 0.9868]","[0.9144, 0.954]","[0.9901, 0.9504]","[0.9934, 0.9875]","[0.968, 0.9772]","[0.9897, 0.9566]"
8SNL:A_8SNL:B,"[0.7021, 0.9388]","[0.3278, 0.9224]","[0.817, 0.9056]","[0.9395, 0.9583]","[0.9027, 0.9527]","[0.9297, 0.9335]"
8WHK:A_8WHK:B,"[0.967, 0.712]","[0.9489, 0.51]","[0.9684, 0.8164]","[0.9727, 0.6714]","[0.9638, 0.5112]","[0.9715, 0.7678]"
8ZP2:A_8ZP2:B,"[0.98, 0.9587]","[0.9375, 0.7922]","[0.9751, 0.9875]","[0.9957, 0.9513]","[0.821, 0.7908]","[0.9952, 0.9908]"
9BIV:A_9BIV:B,"[0.98, 0.9731]","[0.7987, 0.8932]","[0.9813, 0.9515]","[0.989, 0.974]","[0.9152, 0.9634]","[0.9851, 0.9529]"
8WFR:A_8WFR:B,"[0.7702, 0.9802]","[0.5244, 0.9843]","[0.9878, 0.9748]","[0.9965, 0.9816]","[0.9897, 0.9958]","[0.9923, 0.9777]"
8WZO:A_8WZO:B,"[0.7018, 0.9527]","[0.6312, 0.8401]","[0.6439, 0.7721]","[0.9555, 0.9847]","[0.8584, 0.9461]","[0.9469, 0.8492]"
9BIU:A_9BIU:B,"[0.7558, 0.933]","[0.8062, 0.1592]","[0.7788, 0.9448]","[0.7505, 0.9258]","[0.7997, 0.178]","[0.7674, 0.9462]"
7SCS:A_7SCS:B,"[0.8502, 0.8718]","[0.6749, 0.6863]","[0.7798, 0.6408]","[0.9471, 0.956]","[0.8911, 0.8561]","[0.8274, 0.6281]"
7WRS:A_7WRS:B,"[0.9876, 0.6623]","[0.951, 0.91]","[0.986, 0.548]","[0.9857, 0.6436]","[0.9707, 0.9676]","[0.9835, 0.5696]"
7ZJM:A_7ZJM:B,"[0.9447, 0.9429]","[0.8003, 0.84]","[0.9555, 0.9424]","[0.9588, 0.9365]","[0.8538, 0.7806]","[0.9662, 0.9348]"
8ALK:A_8ALK:B,"[0.9775, 0.908]","[0.8102, 0.3376]","[0.9854, 0.9561]","[0.9728, 0.8787]","[0.728, 0.3306]","[0.9807, 0.9004]"
8VOF:A_8VOF:B,"[0.9763, 0.9586]","[0.9271, 0.4459]","[0.9733, 0.9428]","[0.9836, 0.9427]","[0.9271, 0.3255]","[0.9816, 0.9532]"
8E9E:A_8E9E:B,"[0.9419, 0.9799]","[0.915, 0.975]","[0.8598, 0.9672]","[0.9779, 0.9853]","[0.9856, 0.9959]","[0.9357, 0.9696]"
8F2P:A_8F2P:B,"[0.9527, 0.945]","[0.7364, 0.2677]","[0.9623, 0.8979]","[0.9827, 0.98]","[0.8804, 0.7755]","[0.9766, 0.9203]"
8GXE:A_8GXE:B,"[0.9848, 0.9703]","[0.3818, 0.4705]","[0.9812, 0.9771]","[0.9836, 0.9655]","[0.3812, 0.4614]","[0.9833, 0.9725]"
8I5V:A_8I5V:B,"[0.9287, 0.9499]","[0.8854, 0.7927]","[0.8753, 0.9893]","[0.9669, 0.9621]","[0.9695, 0.8732]","[0.9266, 0.9904]"
7SJ4:A_7SJ4:B,"[0.9526, 0.9465]","[0.5598, 0.3348]","[0.9292, 0.9795]","[0.9758, 0.9921]","[0.5547, 0.9365]","[0.9508, 0.9897]"
7G8E:A_7G8E:B,"[0.9424, 0.9464]","[0.6741, 0.5701]","[0.9833, 0.9195]","[0.9917, 0.9502]","[0.962, 0.57]","[0.9877, 0.9258]"
7XQV:A_7XQV:B,"[0.9854, 0.874]","[0.8463, 0.7376]","[0.994, 0.8715]","[0.9244, 0.8709]","[0.6165, 0.7228]","[0.98, 0.8821]"
7U2P:A_7U2P:B,"[0.9787, 0.9616]","[0.9393, 0.7202]","[0.9728, 0.9884]","[0.9679, 0.9775]","[0.9242, 0.8175]","[0.9606, 0.9874]"
8T09:A_8T09:B,"[0.9756, 0.9796]","[0.9051, 0.871]","[0.9688, 0.9865]","[0.9929, 0.961]","[0.9132, 0.8117]","[0.9926, 0.9819]"
7WFC:A_7WFC:B,"[0.9356, 0.9023]","[0.9655, 0.8053]","[0.8909, 0.8829]","[0.9735, 0.958]","[0.9705, 0.935]","[0.954, 0.8875]"
8RQI:A_8RQI:B,"[0.9758, 0.9584]","[0.926, 0.8416]","[0.9651, 0.9888]","[0.9906, 0.9939]","[0.9514, 0.968]","[0.988, 0.9863]"
8T2D:B_8T2D:A,"[0.9382, 0.9666]","[0.816, 0.8166]","[0.9547, 0.9702]","[0.9522, 0.9678]","[0.8372, 0.8626]","[0.9465, 0.964]"
9FCJ:C_9FCJ:D,"[0.9141, 0.9099]","[0.8424, 0.8656]","[0.8831, 0.8645]","[0.9912, 0.9297]","[0.9876, 0.9625]","[0.9138, 0.8704]"
8EFW:B_8EFW:C,"[0.8727, 0.9316]","[0.7196, 0.531]","[0.8878, 0.9283]","[0.8777, 0.965]","[0.7674, 0.6426]","[0.8864, 0.9214]"
8ST8:A_8ST8:B,"[0.922, 0.9467]","[0.9288, 0.3587]","[0.8779, 0.9818]","[0.9203, 0.941]","[0.9452, 0.3452]","[0.8787, 0.9799]"
8EFX:A_8EFX:B,"[0.8944, 0.9711]","[0.6168, 0.9751]","[0.8972, 0.9305]","[0.8734, 0.9786]","[0.5957, 0.9795]","[0.89, 0.9502]"
8ADB:A_8ADB:B,"[0.8509, 0.9696]","[0.3501, 0.7641]","[0.8974, 0.9893]","[0.7804, 0.9745]","[0.2611, 0.7902]","[0.8072, 0.9875]"
8HTC:A_8HTC:B,"[0.4775, 0.9334]","[0.6098, 0.6522]","[0.4644, 0.9294]","[0.3995, 0.9558]","[0.7095, 0.7566]","[0.392, 0.9543]"
8IPJ:A_8IPJ:B,"[0.9901, 0.9773]","[0.9608, 0.8603]","[0.9884, 0.9398]","[0.9926, 0.9756]","[0.8851, 0.8623]","[0.9934, 0.9273]"
7S1P:B_7S1P:A,"[0.9909, 0.9714]","[0.6554, 0.8734]","[0.9931, 0.9797]","[0.9959, 0.9652]","[0.5771, 0.9616]","[0.9947, 0.9715]"
7SCT:A_7SCT:B,"[0.8844, 0.9169]","[0.61, 0.8075]","[0.9624, 0.7107]","[0.978, 0.9736]","[0.9126, 0.9498]","[0.9704, 0.7406]"
7YJC:A_7YJC:B,"[0.9904, 0.6662]","[0.986, 0.6599]",[0.9798],"[0.9952, 0.9749]","[0.9938, 0.9744]",[0.9872]
7Z3W:H_7Z3W:L,"[0.8829, 0.9435]","[0.7392, 0.8581]","[0.8251, 0.9417]","[0.9465, 0.9509]","[0.8852, 0.8868]","[0.9005, 0.9244]"
8T0O:L_8T0O:H,"[0.8839, 0.9124]","[0.812, 0.8426]","[0.8282, 0.845]","[0.9298, 0.9547]","[0.877, 0.9253]","[0.8897, 0.9044]"
8OJT:L_8OJT:H,"[0.526, 0.7611]","[0.5404, 0.5163]","[0.5744, 0.7382]","[0.5287, 0.5567]","[0.54, 0.403]","[0.5803, 0.621]"
8AYA:A_8AYA:B,"[0.9859, 0.9916]","[0.8707, 0.8925]","[0.9823, 0.9915]","[0.9903, 0.9916]","[0.9704, 0.9568]","[0.9835, 0.9901]"
8BOS:R_8BOS:G,"[0.9486, 0.9654]","[0.7346, 0.9383]","[0.9711, 0.9553]","[0.9468, 0.9737]","[0.7452, 0.9498]","[0.9807, 0.9639]"
7PKL:H_7PKL:L,"[0.9287, 0.5229]","[0.8628, 0.6084]","[0.8799, 0.4661]","[0.9814, 0.6748]","[0.9487, 0.8556]","[0.9637, 0.595]"
7SCV:A_7SCV:B,"[0.9031, 0.9194]","[0.7089, 0.8075]","[0.9219, 0.8288]","[0.9476, 0.9645]","[0.8501, 0.9274]","[0.9153, 0.7447]"
8POX:L_8POX:S,"[0.9943, 0.9836]","[0.9622, 0.9725]","[0.9961, 0.9462]","[0.9985, 0.9889]","[0.9931, 0.9936]","[0.9981, 0.9498]"
9FW2:A_9FW2:B,"[0.9245, 0.964]","[0.8326, 0.8676]","[0.9665, 0.9819]","[0.9935, 0.9877]","[0.992, 0.976]","[0.969, 0.9818]"
8SNN:A_8SNN:B,"[0.6009, 0.938]","[0.4299, 0.8871]","[0.6112, 0.9115]","[0.963, 0.9594]","[0.9158, 0.9405]","[0.9108, 0.9381]"
6ZH1:A_6ZH1:B,"[0.984, 0.9477]","[0.9514, 0.8259]","[0.9738, 0.9712]","[0.9575, 0.9378]","[0.9304, 0.8882]","[0.936, 0.9602]"
7F07:A_7F07:C,"[0.9564, 0.9262]","[0.8542, 0.6546]","[0.9549, 0.9529]","[0.9605, 0.9418]","[0.8444, 0.6684]","[0.9599, 0.9568]"
7QNP:AAA_7QNP:BBB,"[0.9891, 0.9926]","[0.8288, 0.7723]","[0.986, 0.9912]","[0.9864, 0.9885]","[0.8861, 0.7584]","[0.9827, 0.9879]"
7UCC:F_7UCC:J,"[0.7886, 0.8974]","[0.9714, 0.9642]","[0.7347, 0.7281]","[0.6678, 0.7964]","[0.939, 0.9383]","[0.7078, 0.7961]"
7V7W:A_7V7W:B,"[0.3798, 0.9035]","[0.3064, 0.8302]","[0.5228, 0.8736]","[0.9381, 0.9657]","[0.9304, 0.957]","[0.8796, 0.9253]"
7WZ6:A_7WZ6:B,"[0.9085, 0.8728]","[0.9352, 0.8927]","[0.3838, 0.4203]","[0.9349, 0.8781]","[0.9687, 0.9409]","[0.4174, 0.4065]"
7XYQ:A_7XYQ:B,"[0.8801, 0.9353]","[0.9409, 0.7283]","[0.8296, 0.9785]","[0.9499, 0.9574]","[0.9497, 0.8517]","[0.9484, 0.9456]"
8AOM:A_8AOM:V,"[0.9058, 0.9297]","[0.929, 0.6205]","[0.8795, 0.9575]","[0.9308, 0.9812]","[0.965, 0.8689]","[0.9206, 0.9736]"
7ZCM:A_7ZCM:B,"[0.9898, 0.6963]","[0.9577, 0.7095]","[0.9844, 0.7678]","[0.9801, 0.7584]","[0.9688, 0.822]","[0.9879, 0.73]"
8APY:A_8APY:C,"[0.9115, 0.9356]","[0.7085, 0.6414]","[0.8851, 0.986]","[0.9876, 0.9735]","[0.8994, 0.8774]","[0.9939, 0.9849]"
8EXW:A_8EXW:B,"[0.9371, 0.9687]","[0.5864, 0.9574]","[0.9625, 0.9155]","[0.9256, 0.9726]","[0.6332, 0.9745]","[0.9442, 0.9178]"
8G3K:A_8G3K:B,"[0.9827, 0.9864]","[0.9544, 0.9603]","[0.9707, 0.9828]","[0.9705, 0.9862]","[0.9543, 0.942]","[0.9507, 0.9815]"
8H1I:A_8H1I:B,"[0.5556, 0.9187]","[0.6745, 0.8535]","[0.5879, 0.7479]","[0.5522, 0.9054]","[0.6684, 0.8185]","[0.5894, 0.7332]"
8HL7:A_8HL7:B,"[0.9827, 0.5662]","[0.9206, 0.3289]","[0.9811, 0.5278]","[0.9859, 0.5736]","[0.9275, 0.7549]","[0.988, 0.5315]"
8IF0:X_8IF0:Y,"[0.9039, 0.9746]","[0.841, 0.8809]","[0.8521, 0.9721]","[0.8316, 0.9907]","[0.887, 0.9681]","[0.7492, 0.9745]"
8K0H:A_8K0H:B,"[0.2512, 0.4077]","[0.3, 0.3472]","[0.33, 0.5148]","[0.251, 0.6393]","[0.281, 0.2621]","[0.323, 0.7745]"
8PE2:A_8PE2:B,"[0.9594, 0.9781]","[0.3091, 0.8781]","[0.9501, 0.978]","[0.9687, 0.9804]","[0.3032, 0.9211]","[0.9607, 0.9761]"
8PU1:A_8PU1:B,"[0.9718, 0.9646]","[0.9505, 0.8792]","[0.9257, 0.9431]","[0.9853, 0.9588]","[0.9657, 0.9349]","[0.9255, 0.9286]"
8QU7:E_8QU7:A,"[0.9829, 0.8952]","[0.7512, 0.1919]","[0.9889, 0.9233]","[0.9863, 0.8792]","[0.8076, 0.1841]","[0.9915, 0.9364]"
8TYY:A_8TYY:B,"[0.9489, 0.9878]","[0.8459, 0.9619]","[0.9337, 0.9911]","[0.9815, 0.9915]","[0.9376, 0.9803]","[0.9524, 0.9892]"
9CFT:A_9CFT:B,"[0.9961, 0.2117]","[0.5796, 0.2117]",[0.9937],"[0.9966, 0.6202]","[0.5659, 0.6202]",[0.9941]
8XLD:A_8XLD:B,"[0.9889, 0.8983]","[0.446, 0.3003]","[0.994, 0.8364]","[0.9867, 0.8976]","[0.4721, 0.314]","[0.9913, 0.8375]"
9F28:A_9F28:B,"[0.9922, 0.9706]","[0.9252, 0.885]","[0.9914, 0.9789]","[0.9918, 0.9845]","[0.9689, 0.9306]","[0.9898, 0.9892]"
8K2W:N_8K2W:R,"[0.9349, 0.9385]","[0.6708, 0.5842]","[0.9063, 0.939]","[0.8998, 0.9499]","[0.1972, 0.757]","[0.9034, 0.9402]"
8K3K:E_8K3K:D,"[0.9752, 0.8521]","[0.8816, 0.5031]","[0.9685, 0.836]","[0.9289, 0.8399]","[0.7947, 0.244]","[0.9081, 0.8197]"
8G4F:A_8G4F:B,"[0.9647, 0.9429]","[0.9061, 0.6571]","[0.955, 0.9809]","[0.9768, 0.9474]","[0.9193, 0.6639]","[0.9646, 0.9826]"
8SOZ:C_8SOZ:A,"[0.9811, 0.971]","[0.7702, 0.8866]","[0.9759, 0.9487]","[0.9932, 0.9751]","[0.9355, 0.9257]","[0.9897, 0.9527]"
8ZYJ:A_8ZYJ:B,"[0.7557, 0.8673]","[0.967, 0.6614]","[0.7279, 0.9117]","[0.7597, 0.9792]","[0.9692, 0.965]","[0.7369, 0.9649]"
7AL7:A_7AL7:B,"[0.9863, 0.9539]","[0.9593, 0.898]","[0.9819, 0.931]","[0.9744, 0.9642]","[0.9741, 0.9614]","[0.9436, 0.9388]"
7S5S:A_7S5S:B,"[0.9955, 0.9552]","[0.9583, 0.888]","[0.9944, 0.9514]","[0.9947, 0.9714]","[0.9635, 0.9153]","[0.9915, 0.9516]"
7THN:B_7THN:E,"[0.8216, 0.8922]","[0.5457, 0.554]","[0.8599, 0.8363]","[0.8236, 0.9104]","[0.5525, 0.3411]","[0.859, 0.8886]"
7V8F:B_7V8F:A,"[0.9001, 0.9805]","[0.9401, 0.6566]","[0.8096, 0.984]","[0.9235, 0.9836]","[0.9241, 0.7883]","[0.8693, 0.9834]"
7Y8U:E_7Y8U:F,"[0.9687, 0.8486]","[0.8316, 0.6714]","[0.9699, 0.8198]","[0.9832, 0.9182]","[0.9358, 0.9032]","[0.9814, 0.8933]"
7YTU:A_7YTU:B,"[0.7567, 0.4]","[0.7499, 0.343]","[0.5297, 0.4741]","[0.9262, 0.876]","[0.949, 0.9012]","[0.4678, 0.8027]"
7ZDF:C_7ZDF:D,"[0.8776, 0.9226]","[0.8307, 0.8705]","[0.8248, 0.9341]","[0.9658, 0.9794]","[0.9723, 0.9705]","[0.9252, 0.9651]"
8BE2:S_8BE2:N,"[0.9841, 0.9808]","[0.3148, 0.841]","[0.9816, 0.9757]","[0.9779, 0.9905]","[0.3126, 0.9178]","[0.9762, 0.9838]"
