target,Block MSA(AFM),AF3-predicted bound monomer(AFM),Experimentally-determined bound monomer(PDB)(AFM),AF3-predicted unbound monomer(AFM),Block MSA(AF3),AF3-predicted bound monomer(AF3),Experimentally-determined bound monomer(PDB)(AF3),AF3-predicted unbound monomer(AF3)
7QGS:B_7QGS:A,0.75,0.751,0.812,0.1,0.75,0.755,0.76,0.072
7U9W:A_7U9W:H,0.085,0.173,0.006,0.006,0.049,0.097,0.114,0.086
7XVO:A_7XVO:D,0.035,0.041,0.057,0.023,0.862,0.86,0.044,0.009
7YMF:A_7YMF:B,0.007,0.01,0.01,0.01,0.01,0.01,0.01,0.013
8A4A:A_8A4A:B,0.061,0.061,0.845,0.031,0.06,0.073,0.186,0.05
8BRQ:A_8BRQ:B,0.693,0.692,0.935,0.804,0.696,0.696,0.712,0.89
8FO6:A_8FO6:B,0.668,0.531,0.075,0.038,0.541,0.548,0.816,0.694
8H0N:A_8H0N:B,0.687,0.732,0.82,0.651,0.735,0.754,0.8,0.675
8HHJ:A_8HHJ:B,0.718,0.097,0.068,0.069,0.717,0.066,0.063,0.062
8JCA:A_8JCA:B,0.029,0.009,0.033,0.049,0.749,0.009,0.713,0.009
8PDC:B_8PDC:A,0.658,0.679,0.911,0.585,0.697,0.721,0.82,0.625
8PPZ:A_8PPZ:B,0.126,0.052,0.047,0.046,0.179,0.161,0.118,0.041
8POD:A_8POD:B,0.408,0.883,0.952,0.167,0.893,0.902,0.937,0.23
7U0U:A_7U0U:B,0.061,0.051,0.021,0.1,0.039,0.041,0.066,0.071
8C3K:A_8C3K:B,0.074,0.095,0.121,0.126,0.867,0.871,0.966,0.311
8DSO:B_8DSO:D,0.057,0.016,0.015,0.022,0.192,0.019,0.019,0.019
8E51:C_8E51:B,0.007,0.007,0.01,0.012,0.816,0.04,0.008,0.016
8EMZ:A_8EMZ:B,0.086,0.018,0.015,0.012,0.005,0.017,0.014,0.018
8GQE:A_8GQE:B,0.806,0.867,0.951,0.044,0.881,0.895,0.962,0.008
8HB0:A_8HB0:B,0.939,0.016,0.025,0.019,0.91,0.029,0.009,0.009
8J1I:8_8J1I:H,0.412,0.429,0.421,0.437,0.892,0.448,0.43,0.45
8OOT:I_8OOT:J,0.821,0.812,0.105,0.107,0.809,0.812,0.164,0.114
8QC1:M_8QC1:L,0.949,0.939,0.969,0.62,0.949,0.948,0.889,0.892
8SM0:C_8SM0:G,0.67,0.776,0.773,0.649,0.777,0.772,0.827,0.78
7E50:A_7E50:B,0.909,0.814,0.918,0.058,0.82,0.822,0.854,0.793
7WR6:A_7WR6:B,0.074,0.011,0.011,0.011,0.014,0.007,0.02,0.011
7YCO:A_7YCO:B,0.026,0.027,0.018,0.027,0.022,0.023,0.019,0.022
7ZHR:A_7ZHR:B,0.01,0.01,0.938,0.015,0.009,0.01,0.014,0.009
8EZS:A_8EZS:B,0.71,0.693,0.941,0.616,0.68,0.68,0.914,0.632
5ST0:A_5ST0:B,0.936,0.958,0.972,0.883,0.968,0.971,0.972,0.923
7PJH:A_7PJH:B,0.796,0.789,0.893,0.545,0.821,0.805,0.931,0.791
7EGS:A_7EGS:B,0.862,0.875,0.901,0.867,0.913,0.907,0.88,0.856
7FGM:A_7FGM:B,0.139,0.178,0.179,0.028,0.175,0.175,0.04,0.058
7QAA:A_7QAA:B,0.882,0.921,0.954,0.895,0.907,0.916,0.943,0.933
7SO0:A_7SO0:B,0.715,0.667,0.919,0.647,0.654,0.672,0.943,0.666
7VLI:A_7VLI:B,0.916,0.947,0.931,0.438,0.92,0.938,0.978,0.873
7ZJV:A_7ZJV:B,0.862,0.79,0.898,0.215,0.773,0.194,0.196,0.189
7ZYU:A_7ZYU:B,0.739,0.807,0.926,0.071,0.815,0.821,0.894,0.776
8U45:A_8U45:C,0.939,0.934,0.948,0.894,0.937,0.937,0.957,0.936
8CK4:A_8CK4:B,0.716,0.771,0.901,0.476,0.746,0.778,0.896,0.764
8G0I:A_8G0I:D,0.014,0.012,0.009,0.012,0.013,0.014,0.918,0.015
9F22:A_9F22:B,0.012,0.013,0.912,0.18,0.014,0.012,0.976,0.014
8G4E:A_8G4E:B,0.037,0.012,0.042,0.018,0.829,0.837,0.837,0.832
8HBW:A_8HBW:B,0.006,0.065,0.013,0.005,0.064,0.065,0.887,0.078
8OT0:A_8OT0:B,0.835,0.915,0.948,0.897,0.92,0.915,0.966,0.901
8P97:A_8P97:B,0.727,0.75,0.709,0.525,0.749,0.749,0.788,0.335
8QDI:A_8QDI:B,0.922,0.932,0.953,0.024,0.949,0.942,0.956,0.931
8SNL:A_8SNL:B,0.703,0.728,0.005,0.005,0.727,0.733,0.835,0.039
8WHK:A_8WHK:B,0.297,0.312,0.323,0.009,0.315,0.329,0.32,0.315
8ZP2:A_8ZP2:B,0.004,0.05,0.943,0.004,0.057,0.257,0.924,0.647
9BIV:A_9BIV:B,0.899,0.9,0.921,0.782,0.929,0.91,0.96,0.83
8WFR:A_8WFR:B,0.951,0.956,0.951,0.265,0.973,0.977,0.988,0.413
8WZO:A_8WZO:B,0.858,0.751,0.84,0.221,0.73,0.745,0.792,0.688
9BIU:A_9BIU:B,0.006,0.005,0.005,0.004,0.023,0.024,0.052,0.005
7SCS:A_7SCS:B,0.753,0.856,0.944,0.706,0.845,0.758,0.851,0.558
7WRS:A_7WRS:B,0.667,0.651,0.921,0.518,0.656,0.653,0.926,0.678
7ZJM:A_7ZJM:B,0.015,0.009,0.01,0.01,0.585,0.009,0.01,0.009
8ALK:A_8ALK:B,0.055,0.056,0.892,0.043,0.056,0.06,0.764,0.047
8VOF:A_8VOF:B,0.006,0.006,0.034,0.006,0.006,0.006,0.006,0.006
8E9E:A_8E9E:B,0.9,0.931,0.955,0.808,0.936,0.929,0.957,0.896
8F2P:A_8F2P:B,0.42,0.924,0.013,0.045,0.913,0.91,0.927,0.883
8GXE:A_8GXE:B,0.005,0.017,0.004,0.032,0.012,0.015,0.934,0.005
8I5V:A_8I5V:B,0.852,0.795,0.958,0.197,0.808,0.797,0.975,0.219
7SJ4:A_7SJ4:B,0.825,0.893,0.895,0.012,0.899,0.891,0.915,0.047
7G8E:A_7G8E:B,0.71,0.723,0.959,0.117,0.734,0.738,0.958,0.105
7XQV:A_7XQV:B,0.136,0.089,0.932,0.112,0.114,0.108,0.054,0.062
7U2P:A_7U2P:B,0.813,0.747,0.838,0.623,0.748,0.754,0.932,0.526
8T09:A_8T09:B,0.857,0.008,0.907,0.725,0.575,0.53,0.896,0.715
7WFC:A_7WFC:B,0.875,0.89,0.959,0.009,0.879,0.88,0.955,0.907
8RQI:A_8RQI:B,0.912,0.939,0.948,0.02,0.941,0.941,0.945,0.898
8T2D:B_8T2D:A,0.641,0.726,0.94,0.677,0.743,0.848,0.879,0.84
9FCJ:C_9FCJ:D,0.821,0.825,0.038,0.01,0.834,0.839,0.861,0.018
8EFW:B_8EFW:C,0.542,0.554,0.755,0.019,0.557,0.545,0.714,0.54
8ST8:A_8ST8:B,0.478,0.335,0.454,0.391,0.332,0.319,0.94,0.335
8EFX:A_8EFX:B,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
8ADB:A_8ADB:B,0.01,0.009,0.075,0.01,0.155,0.01,0.926,0.01
8HTC:A_8HTC:B,0.051,0.483,0.875,0.41,0.485,0.482,0.884,0.422
8IPJ:A_8IPJ:B,0.332,0.371,0.846,0.014,0.139,0.32,0.593,0.337
7S1P:B_7S1P:A,0.836,0.815,0.96,0.722,0.806,0.81,0.937,0.804
7SCT:A_7SCT:B,0.829,0.899,0.924,0.143,0.907,0.906,0.949,0.895
7YJC:A_7YJC:B,0.897,0.933,0.931,0.878,0.945,0.941,0.951,0.918
7Z3W:H_7Z3W:L,0.816,0.804,0.945,0.742,0.804,0.804,0.944,0.799
8T0O:L_8T0O:H,0.72,0.745,0.837,0.677,0.741,0.732,0.912,0.72
8OJT:L_8OJT:H,0.38,0.377,0.952,0.626,0.365,0.365,0.949,0.622
8AYA:A_8AYA:B,0.926,0.965,0.967,0.9,0.974,0.969,0.985,0.911
8BOS:R_8BOS:G,0.869,0.511,0.914,0.106,0.551,0.525,0.943,0.042
7PKL:H_7PKL:L,0.335,0.336,0.849,0.24,0.336,0.336,0.937,0.308
7SCV:A_7SCV:B,0.88,0.845,0.921,0.621,0.745,0.852,0.856,0.654
8POX:L_8POX:S,0.933,0.95,0.962,0.781,0.966,0.965,0.981,0.92
9FW2:A_9FW2:B,0.883,0.936,0.955,0.523,0.933,0.937,0.963,0.917
8SNN:A_8SNN:B,0.772,0.825,0.009,0.002,0.834,0.795,0.012,0.036
6ZH1:A_6ZH1:B,0.769,0.778,0.885,0.018,0.767,0.76,0.894,0.825
7F07:A_7F07:C,0.21,0.008,0.874,0.009,0.461,0.476,0.83,0.016
7QNP:AAA_7QNP:BBB,0.01,0.012,0.011,0.01,0.013,0.011,0.012,0.012
7UCC:F_7UCC:J,0.676,0.619,0.605,0.64,0.503,0.472,0.47,0.472
7V7W:A_7V7W:B,0.684,0.666,0.822,0.066,0.668,0.668,0.73,0.077
7WZ6:A_7WZ6:B,0.941,0.928,0.957,0.934,0.928,0.932,0.935,0.933
7XYQ:A_7XYQ:B,0.435,0.689,0.806,0.35,0.733,0.737,0.802,0.402
8AOM:A_8AOM:V,0.743,0.887,0.916,0.717,0.895,0.892,0.953,0.717
7ZCM:A_7ZCM:B,0.715,0.699,0.025,0.016,0.68,0.705,0.878,0.029
8APY:A_8APY:C,0.424,0.776,0.923,0.269,0.781,0.784,0.931,0.46
8EXW:A_8EXW:B,0.475,0.536,0.564,0.481,0.528,0.517,0.887,0.442
8G3K:A_8G3K:B,0.011,0.012,0.01,0.014,0.012,0.01,0.01,0.01
8H1I:A_8H1I:B,0.015,0.088,0.924,0.069,0.089,0.477,0.855,0.111
8HL7:A_8HL7:B,0.014,0.414,0.059,0.012,0.407,0.404,0.927,0.025
8IF0:X_8IF0:Y,0.81,0.731,0.035,0.027,0.743,0.757,0.907,0.055
8K0H:A_8K0H:B,0.04,0.035,0.938,0.017,0.035,0.033,0.924,0.008
8PE2:A_8PE2:B,0.746,0.786,0.928,0.057,0.817,0.806,0.916,0.4
8PU1:A_8PU1:B,0.906,0.907,0.954,0.826,0.89,0.9,0.941,0.831
8QU7:E_8QU7:A,0.041,0.124,0.029,0.011,0.126,0.125,0.92,0.106
8TYY:A_8TYY:B,0.931,0.939,0.963,0.705,0.936,0.943,0.957,0.56
9CFT:A_9CFT:B,0.156,0.686,0.032,0.1,0.747,0.68,0.143,0.231
8XLD:A_8XLD:B,0.023,0.01,0.009,0.036,0.007,0.009,0.01,0.011
9F28:A_9F28:B,0.857,0.886,0.935,0.817,0.893,0.892,0.941,0.84
8K2W:N_8K2W:R,0.027,0.037,0.849,0.022,0.036,0.036,0.861,0.027
8K3K:E_8K3K:D,0.008,0.008,0.929,0.012,0.008,0.007,0.912,0.015
8G4F:A_8G4F:B,0.152,0.048,0.943,0.086,0.057,0.053,0.009,0.061
8SOZ:C_8SOZ:A,0.918,0.886,0.924,0.76,0.879,0.829,0.855,0.848
8ZYJ:A_8ZYJ:B,0.627,0.648,0.731,0.516,0.666,0.65,0.906,0.588
7AL7:A_7AL7:B,0.927,0.913,0.936,0.013,0.92,0.926,0.933,0.908
7S5S:A_7S5S:B,0.028,0.025,0.015,0.024,0.847,0.016,0.016,0.017
7THN:B_7THN:E,0.732,0.202,0.873,0.216,0.188,0.195,0.91,0.182
7V8F:B_7V8F:A,0.647,0.014,0.861,0.023,0.665,0.66,0.662,0.586
7Y8U:E_7Y8U:F,0.543,0.816,0.895,0.364,0.807,0.808,0.892,0.371
7YTU:A_7YTU:B,0.761,0.756,0.934,0.076,0.75,0.755,0.899,0.07
7ZDF:C_7ZDF:D,0.573,0.775,0.884,0.478,0.785,0.781,0.907,0.609
8BE2:S_8BE2:N,0.11,0.795,0.904,0.581,0.807,0.79,0.919,0.628
8FCC:A_8FCC:B,0.142,0.013,0.01,0.017,0.763,0.768,0.936,0.133
8PFD:A_8PFD:B,0.008,0.051,0.017,0.016,0.934,0.946,0.953,0.01
8QUS:D_8QUS:H,0.104,0.064,0.089,0.011,0.065,0.05,0.673,0.339
8RGI:A_8RGI:B,0.686,0.799,0.952,0.765,0.782,0.791,0.937,0.545
8SSP:A_8SSP:B,0.017,0.013,0.037,0.017,0.01,0.01,0.954,0.011
7ZTL:A_7ZTL:B,0.034,0.014,0.019,0.018,0.013,0.016,0.396,0.017
8VQ3:A_8VQ3:B,0.519,0.515,0.863,0.527,0.508,0.515,0.833,0.531
7SJ3:A_7SJ3:B,0.851,0.829,0.841,0.04,0.825,0.028,0.873,0.243
8P81:A_8P81:B,0.691,0.67,0.927,0.659,0.643,0.644,0.839,0.589
9DLW:B_9DLW:A,0.007,0.007,0.027,0.024,0.007,0.008,0.027,0.033
7RYL:C_7RYL:D,0.823,0.843,0.964,0.147,0.838,0.837,0.942,0.82
7XKY:B_7XKY:A,0.813,0.921,0.948,0.908,0.925,0.912,0.949,0.899
8AK1:A_8AK1:B,0.021,0.046,0.951,0.002,0.054,0.07,0.956,0.801
8B3S:A_8B3S:Z,0.011,0.053,0.011,0.055,0.011,0.015,0.017,0.012
8C12:AAA_8C12:BBB,0.873,0.893,0.951,0.51,0.882,0.876,0.95,0.876
8G9Q:A_8G9Q:D,0.093,0.117,0.439,0.131,0.012,0.077,0.322,0.014
8GUO:A_8GUO:B,0.185,0.198,0.495,0.028,0.198,0.189,0.774,0.159
8Q5R:A_8Q5R:B,0.548,0.558,0.959,0.488,0.558,0.563,0.967,0.526
8SIU:A_8SIU:B,0.917,0.917,0.934,0.048,0.925,0.929,0.972,0.928
8W6X:L_8W6X:S,0.859,0.917,0.918,0.821,0.936,0.93,0.941,0.858
8WT0:A_8WT0:B,0.885,0.871,0.896,0.818,0.886,0.886,0.886,0.745
9ERW:E_9ERW:B,0.012,0.009,0.013,0.011,0.007,0.036,0.97,0.011
9ERT:A_9ERT:B,0.013,0.015,0.934,0.014,0.007,0.189,0.926,0.301
7FDO:A_7FDO:B,0.916,0.927,0.958,0.887,0.939,0.938,0.952,0.932
7UST:B_7UST:A,0.206,0.602,0.943,0.607,0.586,0.568,0.952,0.569
7YCJ:A_7YCJ:B,0.32,0.306,0.141,0.02,0.29,0.243,0.253,0.03
8AKO:A_8AKO:B,0.791,0.034,0.009,0.04,0.745,0.76,0.958,0.765
8B4O:B_8B4O:A,0.732,0.018,0.943,0.019,0.735,0.734,0.954,0.497
8C26:A_8C26:B,0.222,0.933,0.93,0.24,0.933,0.923,0.935,0.234
8EL7:A_8EL7:B,0.064,0.747,0.347,0.023,0.738,0.719,0.511,0.021
7TH3:A_7TH3:B,0.01,0.85,0.941,0.335,0.839,0.855,0.903,0.84
8S5Z:B_8S5Z:A,0.092,0.004,0.004,0.004,0.162,0.937,0.963,0.147
8K3A:A_8K3A:B,0.095,0.021,0.011,0.011,0.044,0.026,0.01,0.009
7UL2:R_7UL2:D,0.005,0.044,0.787,0.004,0.035,0.035,0.921,0.005
7ZMS:A_7ZMS:K,0.011,0.857,0.007,0.007,0.873,0.867,0.938,0.007
7R73:G_7R73:A,0.355,0.086,0.91,0.022,0.122,0.022,0.929,0.023
7YZ9:A_7YZ9:B,0.035,0.014,0.026,0.846,0.874,0.876,0.956,0.873
7VFA:D_7VFA:E,0.62,0.895,0.96,0.013,0.892,0.888,0.937,0.489
7F1G:A_7F1G:D,0.069,0.012,0.008,0.015,0.939,0.95,0.946,0.809
7W1S:A_7W1S:B,0.157,0.021,0.009,0.053,0.02,0.021,0.971,0.092
8QW4:A_8QW4:B,0.61,0.61,0.788,0.54,0.608,0.593,0.629,0.609
8IM0:A_8IM0:B,0.015,0.013,0.013,0.013,0.013,0.024,0.013,0.018
7OZT:AAA_7OZT:BBB,0.014,0.014,0.014,0.013,0.644,0.631,0.942,0.632
8UVY:B_8UVY:A,0.007,0.006,0.008,0.017,0.006,0.005,0.007,0.005
7VKE:A_7VKE:B,0.009,0.006,0.013,0.011,0.005,0.005,0.964,0.005
9FZD:A_9FZD:B,0.219,0.116,0.933,0.123,0.004,0.004,0.933,0.085
8H3X:C_8H3X:A,0.613,0.721,0.909,0.654,0.491,0.733,0.924,0.742
7WKI:A_7WKI:B,0.139,0.014,0.931,0.016,0.017,0.019,0.899,0.016
8H63:A_8H63:B,0.755,0.762,0.968,0.388,0.777,0.746,0.946,0.768
8YVJ:A_8YVJ:B,0.022,0.024,0.023,0.035,0.67,0.706,0.963,0.028
7UPM:A_7UPM:B,0.015,0.059,0.85,0.019,0.059,0.058,0.066,0.058
8AOK:A_8AOK:B,0.064,0.525,0.952,0.441,0.535,0.56,0.953,0.527
7S7R:A_7S7R:B,0.012,0.012,0.951,0.015,0.006,0.015,0.953,0.015
8E0E:A_8E0E:B,0.022,0.659,0.016,0.018,0.664,0.665,0.921,0.644
8E0G:A_8E0G:B,0.048,0.005,0.933,0.004,0.004,0.004,0.947,0.005
8GBQ:A_8GBQ:B,0.882,0.934,0.889,0.812,0.935,0.922,0.76,0.579
8GP6:B_8GP6:A,0.676,0.642,0.909,0.007,0.636,0.641,0.869,0.096
8J09:A_8J09:B,0.455,0.464,0.827,0.01,0.494,0.453,0.819,0.447
8JI0:B_8JI0:A,0.215,0.003,0.022,0.003,0.181,0.034,0.014,0.052
8P7L:H_8P7L:J,0.9,0.071,0.013,0.377,0.911,0.914,0.035,0.872
8Q66:A_8Q66:B,0.706,0.737,0.965,0.039,0.741,0.732,0.973,0.355
8RD3:A_8RD3:B,0.791,0.77,0.688,0.008,0.762,0.766,0.87,0.01
8WT4:A_8WT4:B,0.893,0.888,0.954,0.753,0.907,0.906,0.944,0.895
7XLI:A_7XLI:B,0.636,0.643,0.057,0.412,0.104,0.103,0.958,0.021
8WFH:A_8WFH:E,0.038,0.039,0.057,0.022,0.007,0.019,0.023,0.019
8EZM:A_8EZM:H,0.016,0.852,0.888,0.018,0.85,0.838,0.922,0.842
7XQK:A_7XQK:B,0.864,0.867,0.94,0.014,0.871,0.866,0.941,0.432
7XQW:A_7XQW:B,0.788,0.786,0.839,0.739,0.796,0.793,0.873,0.756
8YM7:A_8YM7:B,0.845,0.857,0.842,0.49,0.902,0.903,0.846,0.461
7ENH:A_7ENH:B,0.768,0.011,0.016,0.016,0.658,0.02,0.962,0.746
7FIW:A_7FIW:B,0.693,0.751,0.919,0.624,0.773,0.776,0.934,0.73
7QBO:A_7QBO:P,0.893,0.9,0.926,0.857,0.906,0.911,0.943,0.906
7PK4:B_7PK4:A,0.765,0.666,0.912,0.687,0.691,0.643,0.843,0.676
7TGF:B_7TGF:A,0.817,0.752,0.952,0.449,0.696,0.699,0.913,0.699
7V4Y:B_7V4Y:A,0.847,0.851,0.931,0.727,0.856,0.866,0.941,0.908
7XVK:A_7XVK:B,0.355,0.01,0.006,0.005,0.696,0.684,0.267,0.216
7YLS:A_7YLS:B,0.869,0.868,0.967,0.799,0.869,0.871,0.957,0.82
7SJQ:A_7SJQ:D,0.922,0.972,0.967,0.382,0.949,0.964,0.966,0.958
8C5H:N_8C5H:S,0.014,0.8,0.073,0.64,0.793,0.79,0.948,0.775
8CM0:BBB_8CM0:AAA,0.784,0.85,0.873,0.099,0.845,0.832,0.927,0.023
8FN8:A_8FN8:B,0.787,0.049,0.085,0.05,0.951,0.056,0.051,0.061
8GZX:A_8GZX:B,0.391,0.496,0.945,0.379,0.451,0.521,0.817,0.723
7MSR:A_7MSR:B,0.761,0.767,0.946,0.801,0.777,0.769,0.86,0.826
8S2M:A_8S2M:B,0.931,0.932,0.954,0.892,0.922,0.934,0.968,0.9
8ZQ3:A_8ZQ3:B,0.683,0.67,0.891,0.025,0.696,0.671,0.812,0.712
9BK6:A_9BK6:B,0.652,0.751,0.903,0.732,0.722,0.706,0.821,0.821
7VUO:A_7VUO:C,0.693,0.78,0.916,0.052,0.786,0.782,0.938,0.19
7SPP:A_7SPP:C,0.593,0.624,0.95,0.117,0.295,0.317,0.955,0.113
7VV8:A_7VV8:C,0.791,0.563,0.841,0.299,0.526,0.609,0.8,0.216
8T74:A_8T74:B,0.896,0.821,0.935,0.513,0.807,0.825,0.9,0.764
7T08:A_7T08:B,0.9,0.918,0.958,0.753,0.923,0.922,0.957,0.837
7YUI:A_7YUI:B,0.573,0.406,0.62,0.263,0.022,0.023,0.595,0.484
8A82:A_8A82:B,0.86,0.902,0.965,0.58,0.902,0.902,0.982,0.723
8BS3:A_8BS3:B,0.859,0.879,0.016,0.094,0.886,0.894,0.013,0.87
8CQZ:A_8CQZ:B,0.775,0.856,0.954,0.859,0.868,0.844,0.9,0.833
8EY4:I_8EY4:A,0.789,0.836,0.95,0.884,0.829,0.799,0.953,0.891
8RO6:A_8RO6:B,0.804,0.817,0.945,0.692,0.813,0.817,0.951,0.82
9DP6:B_9DP6:A,0.852,0.001,0.072,0.001,0.897,0.906,0.133,0.296
9GIB:A_9GIB:B,0.848,0.764,0.884,0.841,0.78,0.749,0.878,0.005
8HLM:A_8HLM:B,0.014,0.012,0.949,0.759,0.012,0.012,0.941,0.012
7MWR:A_7MWR:B,0.753,0.741,0.732,0.76,0.745,0.743,0.771,0.76
7VVB:B_7VVB:A,0.833,0.022,0.088,0.01,0.019,0.017,0.884,0.01
7WSF:A_7WSF:B,0.007,0.003,0.003,0.003,0.821,0.812,0.908,0.843
8J5J:A_8J5J:E,0.011,0.864,0.046,0.01,0.868,0.853,0.913,0.018
8A8F:A_8A8F:B,0.632,0.766,0.559,0.184,0.706,0.722,0.629,0.691
8DC0:A_8DC0:B,0.834,0.022,0.009,0.011,0.869,0.85,0.84,0.024
8IJ5:B_8IJ5:E,0.828,0.864,0.889,0.815,0.881,0.88,0.893,0.842
8OWS:A_8OWS:C,0.833,0.839,0.967,0.668,0.827,0.832,0.98,0.777
8PIJ:A_8PIJ:B,0.017,0.015,0.012,0.014,0.069,0.013,0.013,0.013
8PW8:A_8PW8:B,0.858,0.927,0.917,0.744,0.937,0.935,0.963,0.907
9AY7:A_9AY7:B,0.803,0.781,0.951,0.652,0.791,0.802,0.941,0.718
7S7M:A_7S7M:B,0.827,0.05,0.036,0.019,0.799,0.816,0.008,0.819
9FW3:A_9FW3:B,0.449,0.425,0.806,0.433,0.424,0.424,0.732,0.534
7WIV:A_7WIV:B,0.609,0.667,0.811,0.365,0.664,0.666,0.841,0.504
9IZN:B_9IZN:A,0.661,0.608,0.93,0.565,0.627,0.663,0.887,0.038
7B55:B_7B55:A,0.82,0.797,0.934,0.799,0.82,0.826,0.91,0.835
7F4P:B_7F4P:A,0.829,0.821,0.642,0.313,0.825,0.834,0.888,0.849
7PP2:A_7PP2:B,0.075,0.018,0.011,0.018,0.036,0.036,0.135,0.025
7S7Q:A_7S7Q:B,0.736,0.748,0.809,0.514,0.757,0.733,0.791,0.656
7SH4:A_7SH4:B,0.595,0.66,0.838,0.439,0.651,0.664,0.851,0.482
7UL4:A_7UL4:D,0.027,0.897,0.058,0.004,0.945,0.948,0.842,0.005
8EHE:A_8EHE:B,0.7,0.658,0.946,0.579,0.659,0.658,0.967,0.757
8G4K:A_8G4K:B,0.82,0.847,0.911,0.806,0.867,0.863,0.911,0.873
8ODR:A_8ODR:B,0.008,0.008,0.008,0.008,0.075,0.008,0.008,0.008
8QVX:A_8QVX:B,0.741,0.734,0.769,0.263,0.75,0.737,0.753,0.723
9CQI:A_9CQI:B,0.837,0.071,0.942,0.529,0.33,0.294,0.97,0.747
9K3E:B_9K3E:C,0.91,0.939,0.985,0.882,0.928,0.942,0.969,0.893
8EZG:A_8EZG:B,0.042,0.023,0.92,0.039,0.023,0.022,0.9,0.057
7F61:A_7F61:B,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
7OV9:A_7OV9:C,0.71,0.74,0.949,0.722,0.731,0.744,0.945,0.727
7ULA:B_7ULA:A,0.778,0.746,0.016,0.065,0.728,0.735,0.822,0.062
7WJQ:A_7WJQ:B,0.045,0.011,0.007,0.009,0.019,0.008,0.013,0.008
7XDD:A_7XDD:B,0.661,0.762,0.912,0.388,0.782,0.777,0.916,0.463
8B14:A_8B14:B,0.042,0.021,0.945,0.116,0.029,0.026,0.94,0.032
8BZR:A_8BZR:B,0.059,0.01,0.01,0.033,0.01,0.025,0.051,0.032
8GTG:A_8GTG:B,0.041,0.005,0.005,0.005,0.029,0.005,0.005,0.005
8HSB:A_8HSB:B,0.697,0.682,0.792,0.008,0.688,0.679,0.755,0.568
9CU8:A_9CU8:B,0.812,0.83,0.96,0.8,0.816,0.84,0.94,0.813
9GNB:A_9GNB:B,0.856,0.861,0.965,0.81,0.833,0.927,0.871,0.764
7XJP:A_7XJP:B,0.631,0.396,0.878,0.336,0.383,0.39,0.844,0.36
7UM4:A_7UM4:B,0.076,0.075,0.086,0.049,0.073,0.088,0.095,0.004
8AIN:A_8AIN:B,0.084,0.116,0.911,0.05,0.075,0.051,0.897,0.058
8B2Q:A_8B2Q:I,0.837,0.801,0.905,0.826,0.806,0.798,0.823,0.813
8BJ8:A_8BJ8:B,0.929,0.938,0.946,0.745,0.943,0.952,0.971,0.918
8CD0:A_8CD0:C,0.017,0.106,0.809,0.007,0.016,0.018,0.015,0.018
8CUV:A_8CUV:B,0.86,0.847,0.795,0.593,0.855,0.858,0.934,0.771
