target,AFM MSA(AFM),Block MSA(AFM),Templates(AFM),AFM MSA(AF3),Block MSA(AF3),Templates(AF3)
8d4r:H_8d4r:L_8d4r:G,0.02,0.019,0.007,0.029,0.013,0.81
8hws:I_8hws:J_8hws:A,0.024,0.038,0.027,0.028,0.028,0.027
8xej:H_8xej:L_8xej:B,0.144,0.871,0.02,0.824,0.878,0.933
8xej:H_8xej:L_8xej:X,0.006,0.005,0.006,0.005,0.005,0.005
8fja:E_8fja:D_8fja:A,0.028,0.028,0.012,0.021,0.022,0.015
8cdd:E_8cdd:D_8cdd:B,0.242,0.291,0.015,0.079,0.092,0.872
8tp7:D_8tp7:F_8tp7:A,0.009,0.01,0.026,0.059,0.052,0.008
8pg0:H_8pg0:L_8pg0:A,0.025,0.026,0.003,0.004,0.004,0.005
8j7e:C_8j7e:D_8j7e:E,0.05,0.196,0.93,0.103,0.102,0.937
8jeo:B_8jeo:C_8jeo:A,0.042,0.679,0.971,0.889,0.908,0.974
8fjb:E_8fjb:D_8fjb:A,0.038,0.029,0.016,0.013,0.013,0.015
8phw:H_8phw:L_8phw:A,0.004,0.004,0.011,0.006,0.007,0.009
8caf:D_8caf:C_8caf:E,0.077,0.067,0.103,0.047,0.051,0.081
8caf:D_8caf:C_8caf:G,0.034,0.031,0.042,0.036,0.05,0.045
8f0i:C_8f0i:D_8f0i:A,0.024,0.027,0.024,0.031,0.023,0.846
8cbd:H_8cbd:L_8cbd:R,0.41,0.42,0.859,0.018,0.025,0.853
8qq0:E_8qq0:D_8qq0:A,0.003,0.003,0.004,0.311,0.105,0.834
8bg1:J_8bg1:K_8bg1:L,0.024,0.023,0.039,0.925,0.02,0.973
8u2c:F_8u2c:E_8u2c:A,0.002,0.149,0.871,0.002,0.002,0.87
8uf7:B_8uf7:A_8uf7:C,0.073,0.073,0.036,0.076,0.079,0.09
8tlm:A_8tlm:B_8tlm:C,0.248,0.222,0.04,0.184,0.762,0.922
8fdo:A_8fdo:B_8fdo:C,0.52,0.626,0.033,0.46,0.532,0.914
8i3s:H_8i3s:L_8i3s:A,0.07,0.03,0.581,0.575,0.56,0.829
8hwt:H_8hwt:L_8hwt:A,0.148,0.119,0.921,0.05,0.59,0.199
8gat:M_8gat:N_8gat:A,0.165,0.219,0.009,0.326,0.45,0.869
8xc4:C_8xc4:D_8xc4:B,0.429,0.484,0.957,0.462,0.432,0.928
8trs:A_8trs:G_8trs:D,0.789,0.024,0.018,0.069,0.126,0.921
8euv:G_8euv:H_8euv:B,0.014,0.012,0.029,0.007,0.007,0.929
8euv:G_8euv:H_8euv:A,0.007,0.007,0.005,0.004,0.008,0.005
8sr0:Y_8sr0:Z_8sr0:X,0.036,0.071,0.74,0.502,0.475,0.699
Mean,0.1543,0.1301,0.2414,0.2522,0.277,0.5084
