target,Full-Chain(ab),Interface(ab),Non-interface(ab),Full-Chain(ag),Interface(ag),Non-interface(ag)
8szy:A_8szy:B_8szy:T,0.9777,0.9592,0.9764,0.9558,0.8419,0.9154
8tm1:H_8tm1:L_8tm1:A,0.9642,0.7068,0.8138,0.925,0.8577,0.8796
8tma:H_8tma:L_8tma:A,0.9598,0.6886,0.9551,0.9314,0.797,0.8907
8w84:A_8w84:B_8w84:D,0.7941,0.5108,0.8066,0.5422,0.5721,0.7047
8w84:A_8w84:B_8w84:C,0.9625,0.573,0.9702,0.6438,0.4469,0.7438
8gye:E_8gye:F_8gye:A,0.9932,0.9183,0.992,0.6974,0.8167,0.6421
8szy:H_8szy:L_8szy:T,0.7599,0.6938,0.7698,0.9539,0.838,0.9286
8f38:D_8f38:G_8f38:B,0.9701,0.3362,0.8381,0.8615,0.5296,0.8433
8g5a:H_8g5a:L_8g5a:A,0.9739,0.8667,0.9701,0.8354,0.971,0.8243
8g5b:I_8g5b:M_8g5b:A,0.989,0.8794,0.9884,0.9834,0.9651,0.981
8cbf:A_8cbf:B_8cbf:E,0.9827,0.8907,0.9811,0.9413,0.701,0.9235
8jlx:H_8jlx:L_8jlx:A,0.9773,0.7384,0.9832,0.5497,0.2075,0.608
8hrd:L_8hrd:M_8hrd:K,0.9851,0.513,0.9931,0.9372,0.8516,0.9279
8g6u:C_8g6u:D_8g6u:B,0.9345,0.2987,0.9606,0.3689,0.3735,0.3973
8cii:H_8cii:L_8cii:E,0.9723,0.1454,0.9728,0.9765,0.4006,0.9852
8hpf:M_8hpf:N_8hpf:A,0.8831,0.8055,0.8915,0.9526,0.8382,0.9462
8wdt:C_8wdt:B_8wdt:A,0.9677,0.8902,0.9633,0.9166,0.3415,0.9511
8hpu:H_8hpu:L_8hpu:A,0.9847,0.9489,0.9824,0.9452,0.7847,0.9318
8w85:E_8w85:F_8w85:G,0.9145,0.631,0.9178,0.6403,0.3958,0.7273
8w85:E_8w85:F_8w85:H,0.9417,0.3571,0.9369,0.5132,0.1852,0.5995
8hgm:C_8hgm:D_8hgm:B,0.9746,0.8389,0.9732,0.9547,0.7238,0.9489
8tpa:H_8tpa:L_8tpa:A,0.9878,0.8446,0.8513,0.8779,0.8259,0.8639
8tpa:H_8tpa:L_8tpa:B,0.989,0.3612,0.988,0.546,0.484,0.6061
8tp9:D_8tp9:F_8tp9:B,0.9806,0.7184,0.8474,0.8453,0.7622,0.8592
8t04:E_8t04:F_8t04:B,0.9822,0.8759,0.8101,0.9708,0.6311,0.9651
7yp2:H_7yp2:L_7yp2:A,0.9804,0.9277,0.9707,0.883,0.8594,0.8531
8ttw:M_8ttw:N_8ttw:A,0.9461,0.2775,0.958,0.919,0.4844,0.9157
8hlb:B_8hlb:C_8hlb:A,0.9832,0.756,0.9834,0.8253,0.6866,0.703
8gsb:H_8gsb:K_8gsb:A,0.977,0.8321,0.9716,0.8938,0.2173,0.8756
8jen:G_8jen:H_8jen:P,0.9583,0.9635,0.9577,0.9529,0.8681,0.9365
8aci:H_8aci:L_8aci:A,0.8644,0.8933,0.8725,0.9779,0.9323,0.9754
8tp2:H_8tp2:L_8tp2:C,0.9706,0.6556,0.9775,0.7576,0.9275,0.7167
8tp3:H_8tp3:L_8tp3:C,0.937,0.2162,0.9614,0.8802,0.8407,0.849
8g4p:C_8g4p:D_8g4p:E,0.9821,0.6275,0.985,0.9274,0.7308,0.8897
8g4p:A_8g4p:B_8g4p:E,0.985,0.4817,0.5659,0.9315,0.7772,0.8626
8w85:A_8w85:B_8w85:C,0.9769,0.6232,0.9869,0.6406,0.3761,0.7496
8w85:A_8w85:B_8w85:D,0.9739,0.2278,0.9803,0.547,0.2182,0.5901
8jnk:I_8jnk:M_8jnk:A,0.966,0.459,0.9697,0.9915,0.9037,0.9882
8hrd:Y_8hrd:Z_8hrd:T,0.7979,0.9339,0.8181,0.9585,0.9578,0.9292
8bg8:H_8bg8:L_8bg8:A,0.9751,0.877,0.9644,0.9277,0.8384,0.9116
8edf:H_8edf:L_8edf:A,0.9428,0.2377,0.9763,0.9697,0.6395,0.9733
8ekd:E_8ekd:F_8ekd:G,0.7412,0.5096,0.8087,0.8535,0.4927,0.8195
8cbe:H_8cbe:L_8cbe:E,0.8222,0.9369,0.8386,0.9542,0.9363,0.9338
8jlw:H_8jlw:L_8jlw:A,0.9754,0.8795,0.9642,0.3599,0.1975,0.4078
8bw0:H_8bw0:L_8bw0:C,0.9779,0.7941,0.9694,0.8995,0.4631,0.8621
8hws:D_8hws:E_8hws:A,0.8386,0.909,0.8523,0.9681,0.7886,0.9706
8oxx:B_8oxx:C_8oxx:A,0.9784,0.6659,0.9788,0.9557,0.7841,0.9487
8t7a:D_8t7a:E_8t7a:a,0.9867,0.6459,0.9916,0.214,0.3555,0.2423
8st1:G_8st1:F_8st1:C,0.9588,0.9298,0.9585,0.9527,0.9686,0.9491
8st1:G_8st1:F_8st1:B,0.9698,0.725,0.9702,0.9053,0.9974,0.9039
8ttw:G_8ttw:H_8ttw:F,0.9786,0.4216,0.9791,0.2596,0.4725,0.3228
8cii:A_8cii:B_8cii:E,0.9881,0.8165,0.9938,0.9726,0.7552,0.9884
8ipc:H_8ipc:L_8ipc:A,0.9879,0.9805,0.9842,0.785,0.3445,0.7784
8qot:H_8qot:L_8qot:A,0.8781,,0.8813,0.9485,0.9766,0.9476
8r8d:E_8r8d:I_8r8d:B,0.9549,0.7304,0.9778,0.9958,0.9714,0.9938
8w86:A_8w86:B_8w86:C,0.7872,0.5929,0.809,0.6389,0.3799,0.7461
8w86:A_8w86:B_8w86:D,0.8013,0.6247,0.8044,0.7212,0.2298,0.7439
8gje:H_8gje:L_8gje:A,0.9835,0.9517,0.9753,0.8749,0.2309,0.8503
8b7h:H_8b7h:L_8b7h:A,0.9955,0.817,0.9957,0.8812,0.5144,0.8067
8tp4:H_8tp4:L_8tp4:C,0.97,0.6315,0.9853,0.8648,0.92,0.8447
8tp5:E_8tp5:F_8tp5:C,0.9651,0.5882,0.8298,0.9047,0.9432,0.8734
8d4r:H_8d4r:L_8d4r:G,0.721,0.2356,0.75,0.9071,0.4973,0.8996
8hws:I_8hws:J_8hws:A,0.9782,0.8054,0.9774,0.9562,0.8318,0.9381
8xej:H_8xej:L_8xej:B,0.9948,0.9526,0.9945,0.9005,0.9392,0.8395
8xej:H_8xej:L_8xej:X,0.9926,0.3304,0.9922,0.9722,0.6211,0.9713
8fja:E_8fja:D_8fja:A,0.821,0.8257,0.8218,0.8625,0.969,0.8523
8cdd:E_8cdd:D_8cdd:B,0.9524,0.6883,0.9432,0.9294,0.7094,0.9144
8tp7:D_8tp7:F_8tp7:A,0.9851,0.769,0.9873,0.8116,0.8753,0.8073
8pg0:H_8pg0:L_8pg0:A,0.9407,0.7164,0.8243,0.988,0.7023,0.9896
8j7e:C_8j7e:D_8j7e:E,0.7749,0.6311,0.777,0.9337,0.8845,0.8482
8jeo:B_8jeo:C_8jeo:A,0.9908,0.9142,0.9899,0.9717,0.9647,0.931
8fjb:E_8fjb:D_8fjb:A,0.9789,0.8268,0.981,0.6985,0.3943,0.6327
8phw:H_8phw:L_8phw:A,0.9223,0.5648,0.9343,0.9792,0.9366,0.9794
8caf:D_8caf:C_8caf:E,0.9634,0.3123,0.9662,0.9378,0.8673,0.858
8caf:D_8caf:C_8caf:G,0.9699,0.3574,0.9738,0.9513,0.6797,0.9661
8f0i:C_8f0i:D_8f0i:A,0.9474,0.8056,0.9475,0.9579,0.7989,0.9606
8cbd:H_8cbd:L_8cbd:R,0.9612,0.8809,0.9631,0.9512,0.8894,0.9583
8qq0:E_8qq0:D_8qq0:A,0.9412,0.7396,0.9537,0.6186,0.7499,0.6801
8bg1:J_8bg1:K_8bg1:L,0.981,0.5846,0.9913,0.9503,0.5223,0.9381
8u2c:F_8u2c:E_8u2c:A,0.7782,0.6114,0.7865,0.9831,0.3306,0.9892
8uf7:B_8uf7:A_8uf7:C,0.9587,0.7542,0.9547,0.9302,0.6988,0.7305
8tlm:A_8tlm:B_8tlm:C,0.983,0.7312,0.9843,0.9746,0.6589,0.9729
8fdo:A_8fdo:B_8fdo:C,0.9776,0.6822,0.9914,0.9375,0.4482,0.9645
8i3s:H_8i3s:L_8i3s:A,0.9439,0.7749,0.9347,0.9459,0.7687,0.9466
8hwt:H_8hwt:L_8hwt:A,0.9511,0.8199,0.9547,0.9733,0.9333,0.9639
8gat:M_8gat:N_8gat:A,0.9348,0.4002,0.9489,0.9646,0.8756,0.9609
8xc4:C_8xc4:D_8xc4:B,0.8451,0.8579,0.8533,0.9492,0.2808,0.9391
8trs:A_8trs:G_8trs:D,0.7886,0.8677,0.7914,0.8852,0.9094,0.853
8euv:G_8euv:H_8euv:B,0.9801,0.7973,0.983,0.2622,0.2274,0.3141
8euv:G_8euv:H_8euv:A,0.985,0.8595,0.9884,0.9313,0.7705,0.929
8sr0:Y_8sr0:Z_8sr0:X,0.9797,0.8152,0.9719,0.8808,0.2544,0.8927
Mean,0.9302,0.6999,0.9213,0.8472,0.6675,0.8431
