target,AFM MSA(AFM),Block MSA(AFM),Templates(AFM),AFM MSA(AF3),Block MSA(AF3),Templates(AF3)
8cbf:A_8cbf:B_8cbf:E,0.622,0.621,0.981,0.885,0.886,0.956
8jlx:H_8jlx:L_8jlx:A,0.888,0.866,0.945,0.848,0.881,0.907
8hrd:L_8hrd:M_8hrd:K,0.488,0.468,0.861,0.906,0.864,0.955
8g6u:C_8g6u:D_8g6u:B,0.525,0.537,0.051,0.828,0.51,0.921
8cii:H_8cii:L_8cii:E,0.529,0.537,0.552,0.564,0.818,0.55
8hpf:M_8hpf:N_8hpf:A,0.562,0.651,0.929,0.601,0.658,0.874
8wdt:C_8wdt:B_8wdt:A,0.763,0.793,0.945,0.782,0.791,0.936
8hpu:H_8hpu:L_8hpu:A,0.563,0.574,0.895,0.837,0.815,0.87
8w85:E_8w85:F_8w85:G,0.564,0.564,0.894,0.573,0.553,0.837
8w85:E_8w85:F_8w85:H,0.543,0.568,0.846,0.735,0.722,0.855
8hgm:C_8hgm:D_8hgm:B,0.852,0.817,0.893,0.829,0.832,0.87
8tpa:H_8tpa:L_8tpa:A,0.888,0.888,0.862,0.864,0.891,0.917
8tpa:H_8tpa:L_8tpa:B,0.873,0.877,0.894,0.894,0.893,0.912
8tp9:D_8tp9:F_8tp9:B,0.888,0.885,0.874,0.882,0.849,0.935
8t04:E_8t04:F_8t04:B,0.893,0.877,0.947,0.881,0.888,0.929
7yp2:H_7yp2:L_7yp2:A,0.907,0.908,0.943,0.906,0.91,0.91
8ttw:M_8ttw:N_8ttw:A,0.539,0.597,0.022,0.74,0.756,0.872
8hlb:B_8hlb:C_8hlb:A,0.833,0.814,0.879,0.817,0.816,0.846
8gsb:H_8gsb:K_8gsb:A,0.862,0.858,0.922,0.908,0.906,0.916
8jen:G_8jen:H_8jen:P,0.814,0.85,0.962,0.83,0.798,0.955
8aci:H_8aci:L_8aci:A,0.656,0.673,0.962,0.669,0.665,0.68
8tp2:H_8tp2:L_8tp2:C,0.798,0.781,0.547,0.787,0.844,0.939
8tp3:H_8tp3:L_8tp3:C,0.752,0.727,0.55,0.711,0.691,0.895
8g4p:C_8g4p:D_8g4p:E,0.835,0.874,0.955,0.867,0.848,0.963
8g4p:A_8g4p:B_8g4p:E,0.864,0.855,0.959,0.845,0.856,0.953
8w85:A_8w85:B_8w85:C,0.718,0.73,0.939,0.707,0.711,0.928
8w85:A_8w85:B_8w85:D,0.725,0.737,0.94,0.886,0.711,0.916
8jnk:I_8jnk:M_8jnk:A,0.562,0.634,0.955,0.622,0.638,0.947
8hrd:Y_8hrd:Z_8hrd:T,0.838,0.843,0.966,0.848,0.591,0.937
8bg8:H_8bg8:L_8bg8:A,0.891,0.853,0.874,0.906,0.906,0.896
8edf:H_8edf:L_8edf:A,0.821,0.575,0.207,0.882,0.842,0.917
8ekd:E_8ekd:F_8ekd:G,0.426,0.437,0.742,0.382,0.409,0.671
8cbe:H_8cbe:L_8cbe:E,0.925,0.916,0.959,0.947,0.94,0.932
8jlw:H_8jlw:L_8jlw:A,0.884,0.875,0.936,0.884,0.912,0.904
8bw0:H_8bw0:L_8bw0:C,0.854,0.841,0.899,0.865,0.845,0.867
8hws:D_8hws:E_8hws:A,0.56,0.608,0.853,0.742,0.673,0.932
8oxx:B_8oxx:C_8oxx:A,0.77,0.719,0.947,0.768,0.756,0.926
8t7a:D_8t7a:E_8t7a:a,0.885,0.222,0.016,0.805,0.869,0.957
8st1:G_8st1:F_8st1:C,0.733,0.719,0.904,0.761,0.765,0.862
8st1:G_8st1:F_8st1:B,0.746,0.732,0.899,0.715,0.758,0.816
8ttw:G_8ttw:H_8ttw:F,0.607,0.62,0.925,0.855,0.849,0.915
8cii:A_8cii:B_8cii:E,0.828,0.824,0.94,0.829,0.831,0.876
8ipc:H_8ipc:L_8ipc:A,0.819,0.825,0.948,0.887,0.841,0.937
8qot:H_8qot:L_8qot:A,0.503,0.54,0.49,0.586,0.549,0.887
8r8d:E_8r8d:I_8r8d:B,0.56,0.567,0.941,0.584,0.64,0.911
8w86:A_8w86:B_8w86:C,0.48,0.475,0.946,0.486,0.481,0.935
8w86:A_8w86:B_8w86:D,0.481,0.496,0.944,0.486,0.493,0.929
8gje:H_8gje:L_8gje:A,0.842,0.854,0.661,0.851,0.851,0.879
8b7h:H_8b7h:L_8b7h:A,0.816,0.812,0.971,0.912,0.94,0.958
8tp4:H_8tp4:L_8tp4:C,0.743,0.746,0.01,0.781,0.786,0.944
8tp5:E_8tp5:F_8tp5:C,0.736,0.742,0.033,0.747,0.785,0.945
8d4r:H_8d4r:L_8d4r:G,0.428,0.444,0.008,0.452,0.457,0.879
8hws:I_8hws:J_8hws:A,0.762,0.751,0.936,0.829,0.83,0.859
8xej:H_8xej:L_8xej:B,0.802,0.941,0.958,0.937,0.931,0.962
8xej:H_8xej:L_8xej:X,0.81,0.933,0.959,0.842,0.867,0.959
8fja:E_8fja:D_8fja:A,0.632,0.63,0.858,0.603,0.6,0.617
8cdd:E_8cdd:D_8cdd:B,0.755,0.772,0.887,0.766,0.746,0.861
8tp7:D_8tp7:F_8tp7:A,0.757,0.697,0.691,0.859,0.924,0.956
8pg0:H_8pg0:L_8pg0:A,0.688,0.69,0.914,0.686,0.68,0.893
8j7e:C_8j7e:D_8j7e:E,0.587,0.616,0.954,0.696,0.678,0.947
8jeo:B_8jeo:C_8jeo:A,0.817,0.836,0.929,0.854,0.861,0.945
8fjb:E_8fjb:D_8fjb:A,0.559,0.801,0.946,0.843,0.835,0.924
8phw:H_8phw:L_8phw:A,0.669,0.649,0.857,0.599,0.558,0.546
8caf:D_8caf:C_8caf:E,0.682,0.77,0.959,0.767,0.783,0.938
8caf:D_8caf:C_8caf:G,0.685,0.716,0.944,0.825,0.792,0.963
8f0i:C_8f0i:D_8f0i:A,0.77,0.759,0.942,0.748,0.736,0.938
8cbd:H_8cbd:L_8cbd:R,0.532,0.528,0.957,0.863,0.765,0.931
8qq0:E_8qq0:D_8qq0:A,0.745,0.742,0.926,0.769,0.787,0.912
8bg1:J_8bg1:K_8bg1:L,0.763,0.721,0.666,0.885,0.738,0.936
8u2c:F_8u2c:E_8u2c:A,0.862,0.878,0.936,0.919,0.913,0.936
8uf7:B_8uf7:A_8uf7:C,0.698,0.704,0.737,0.707,0.714,0.71
8tlm:A_8tlm:B_8tlm:C,0.677,0.696,0.959,0.801,0.876,0.944
8fdo:A_8fdo:B_8fdo:C,0.723,0.836,0.248,0.695,0.738,0.942
8i3s:H_8i3s:L_8i3s:A,0.635,0.616,0.729,0.717,0.747,0.781
8hwt:H_8hwt:L_8hwt:A,0.605,0.621,0.938,0.801,0.778,0.872
8gat:M_8gat:N_8gat:A,0.583,0.707,0.047,0.628,0.653,0.926
8xc4:C_8xc4:D_8xc4:B,0.834,0.644,0.96,0.595,0.611,0.847
8trs:A_8trs:G_8trs:D,0.899,0.864,0.812,0.922,0.859,0.94
8euv:G_8euv:H_8euv:B,0.865,0.865,0.838,0.86,0.869,0.952
8euv:G_8euv:H_8euv:A,0.864,0.866,0.862,0.849,0.858,0.958
8sr0:Y_8sr0:Z_8sr0:X,0.849,0.87,0.909,0.868,0.866,0.881
Mean,0.7242,0.7174,0.7878,0.7627,0.7576,0.8941
